location,merged_location_names,latitude,longitude,count,address
North Carolina State University,North Carolina State University; North carolina state university; NC State University; NCSU,35.763836575,-78.674785875,260,"NCSU Pond Number One Dam, Wake County, North Carolina, 27693, United States, North Carolina State University, Pullen Road, Forest Park, Oberlin, Raleigh, Wake County, North Carolina, 27695, United States"
University of California Los Angeles,"University of California, Los Angeles; University of California Los Angeles; UCLA; University of California-Los Angeles; Cedars-Sinai Medical Center; Terasaki Institute; University of California - Los Angeles; XPRIZE",34.05998905,-118.4310129,236,"Cedars-Sinai Medical Center, 8700, Beverly Boulevard, West Hollywood, Los Angeles County, California, 90048, United States, Terasaki Research Institute, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States, University of California, Los Angeles, Hilgard Avenue, Holmby Hills, Westwood, Los Angeles, Los Angeles County, California, 90095, United States, Xprize Foundation, West Slauson Avenue, Fox Hills, Culver City, Los Angeles County, California, 90056, United States"
University of Delaware,University of Delaware,39.6803338,-75.7530749,231,"University of Delaware, The Green, Newark, New Castle County, Delaware, 19716, United States"
National Renewable Energy Laboratory,National Energy Technology Laboratory; National Renewable Energy Laboratory; Colorado School of Mines; National Renewable Energy Lab,39.740915175,-105.183859375,231,"Colorado School of Mines, 1500, Illinois Street, Golden, Jefferson County, Colorado, 80401, United States, National Renewable Energy Lab, Denver West Parkway, Applewood, Jefferson County, Colorado, 80410, United States, Science and Technology Facility, Denver West Parkway, Applewood, Jefferson County, Colorado, 80419, United States"
Pennsylvania State University,Pennsylvania State University; Penn State University; The Pennsylvania State University; Penn State; Pennsylvania state university; the Pennsylvania State University,40.8025835,-77.8559383,222,"Penn State University, Abby Plaza, Overlook Heights, Krumrine, Ferguson Township, Centre County, Pennsylvania, 16803, United States"
Columbia University in the City of New York,"Stevens Institute of Technology; Columbia University; New York University; NYU Tandon School of Engineering; NYU College of Dentistry; City College of New York, CUNY; City College of New York; The City College of New York; CUNY Advanced Science Research Center; Columbia University in the City of New York; Weill Cornell Medical College; Forest Concepts",40.774002491666664,-73.95921585,219,"A & E Hair Concepts, 64-03, 108th Street, Forest Hills, Queens, Queens County, City of New York, New York, 11375, United States, CUNY Advanced Science Research Center, 85, Saint Nicholas Terrace, Manhattanville, Manhattan Community Board 9, Manhattan, New York County, City of New York, New York, 10031, United States, Columbia University, Amsterdam Avenue, Morningside Heights, Manhattan Community Board 9, Manhattan, New York County, City of New York, New York, 10027, United States, NYU College of Nursing, College of Dentistry and School of Engineering, 433, 1st Avenue, Kips Bay, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10010, United States, New York University, West Houston Street, University Village, Manhattan, New York County, City of New York, New York, 10014, United States, Stevens Institute of Technology, 1, 6th Street, Downtown, Hoboken, Hudson County, New Jersey, 07030, United States, Tandon School of Engineering, Johnson Street, Brooklyn Navy Yard, Brooklyn, Kings County, City of New York, New York, 11201, United States, The City College of New York, 160, Convent Avenue, Manhattanville, Manhattan Community Board 9, Manhattan, New York County, City of New York, New York, 10031, United States, Weill Cornell Medical College, York Avenue, Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10128, United States"
Pacific Northwest National Laboratory,"Pacific Northwest National Laboratory; PNNL; Pacific Northwest National Laboratory, Richland, WA; Ingredion Incorporated; )Pacific Northwest National Laboratory",46.34770818,-119.27561190000002,202,"Ingredion Incorporated, Richland, Benton County, Washington, United States, PNNL Guesthouse/ User Housing Facility, Battelle Boulevard, Richland, Benton County, Washington, 99354, United States, Pacific Northwest National Laboratory, Horn Rapids Road, Richland, Benton County, Washington, 99354, United States"
University of Illinois,"University of Illinois Urbana-Champaign; University of Illinois at Urbana-Champaign; University of Illinois at Urbana Champaign; U.S. Army Research Laboratory; Army Research Laboratory; University of Illinois Urbana Champaign; University of Illinois at Urbana−Champaign; University of Illinois; University of Illinois Urbana–Champaign; University of Illinois, Urbana-Champaign; University of Illinois At Urbana-Champaign; University of Illinois Laboratory High School; UIUC; UNIVERSITY OF ILLINOIS AT URBANA CHAMPAIGN",40.094607692857146,-88.21349916428572,196,"Atkins Golf Club at the University of Illinois, 2600, South Stone Creek Boulevard, Mira, Urbana, Champaign County, Illinois, 61802, United States, US Army Construction Engineering Research Laboratory, 2902, Champaign, Champaign County, Illinois, 61822, United States, University of Illinois Laboratory High School, 1212, West Springfield Avenue, Urbana, Champaign County, Illinois, 61801, United States, University of Illinois Urbana-Champaign, West Stoughton Street, Urbana, Champaign County, Illinois, 61801, United States"
West Virginia University,West Virginia University; west virginia university,39.6348397,-79.9542095,185,"West Virginia University, Rohrbaugh Street, Westover, Monongalia County, West Virginia, 26501, United States"
University of California Berkeley,"University of California, Berkeley; University of California; Lawrence Berkeley National Laboratory; University of California Berkeley; UC Berkeley; Lawrence Berkeley National Lab; University of California at Berkeley; University of California-Berkeley",37.8671453125,-122.243397875,185,"Lawrence Berkeley National Laboratory, Centennial Drive, Oakland, Alameda County, California, 94720, United States, Oakland Scientific Facility - Lawrence Berkeley National Lab, Thomas L. Berkley Way, Uptown, Downtown Oakland, Oakland, Alameda County, California, 94612, United States, University of California Botanical Garden at Berkeley, 200, Centennial Drive, Berkeley, Alameda County, California, 94720, United States, University of California, Berkeley, Campanile Way, Northside, Berkeley, Alameda County, California, 94720, United States"
"University of Wisconsin-Madison, Madison","University of Wisconsin-Madison; University of Wisconsin - Madison; University of Wisconsin—Madison; University of Wisconsin – Madison; University of Wisconsin, Madison; University of Wisconsin-Madison, Madison; UW-Madison; University of Wisconsin–Madison; UW Madison; Forest Products Laboratory",43.07970709,-89.43061513,175,"Forest Products Laboratory, 1, Gifford Pinchot Drive, Forest Products Laboratory Campus, Madison, Dane County, Wisconsin, 53726, United States, University of Wisconsin-Madison, North Park Street, South Campus, Bowens Addition, Madison, Dane County, Wisconsin, 53715, United States"
University of Notre dame,"University of Notre dame; University of Notre Dame; Indiana University School of Medicine; University of Notre Dame,Indiana",41.701515725,-86.23799269999999,171,"Indiana University School of Medicine, 1234, North Notre Dame Avenue, Harters Heights, South Bend, Saint Joseph County, Indiana, 46617, United States, University of Notre Dame du Lac, Ironwood Road, Maple Lane, Notre Dame, Saint Joseph County, Indiana, 46556, United States"
Princeton University,Princeton University; Princeton,40.344185249999995,-74.65905155,171,"Princeton University, Baker Lane, Princeton, Mercer County, New Jersey, 08540, United States, Princeton, Mercer County, New Jersey, United States"
University of Minnesota Twin Cities,University of Minnesota; University of Minnesota-Twin Cities; University of Minnesota – Twin Cities; University of Minnesota Twin Cities; University of Minnesota - Twin Cities; Augsburg University; 3M,44.98228161428572,-93.1951990857143,166,"3M Arena, 1901, Southeast 4th Street, Prospect Park - East River Road, Minneapolis, Hennepin County, Minnesota, 55455, United States, Augsburg University, South 21st Avenue, Phillips, Minneapolis, Hennepin County, Minnesota, 55455, United States, The University of Minnesota, Twin Cities Campus, West Dan Patch Avenue, Falcon Heights, Ramsey County, Minnesota, 55455, United States"
University of Colorado Boulder,"University of Colorado Boulder; CU Boulder; University of Colorado, Boulder; University of Colorado; University of Colorado-Boulder",40.00720174,-105.26747227999999,151,"University of Colorado Boulder (Main Campus), Baseline Road, Boulder, Boulder County, Colorado, 80310, United States, University of Colorado Boulder (Main Campus), Boulder, Boulder County, Colorado, 80309, United States, University of Colorado, 1100, Boulder, Boulder County, Colorado, United States"
Johns Hopkins University,"Johns Hopkins University; JHU; Johns Hopkins University School of Medicine; University of Maryland Baltimore County; UMBC; University of Maryland Baltimore; University of Maryland, Baltimore County; Johns Hopkins School of Medicine; The Johns Hopkins University",39.289034799999996,-76.6431253111111,150,"Johns Hopkins University School Of Medicine, 2024, East Monument Street, Middle East, Baltimore, Maryland, 21287, United States, Johns Hopkins University, 3400, North Charles Street, Charles Village, Baltimore, Maryland, 21218, United States, The Peabody Institute of Johns Hopkins, Centre Street Cycletrack, Mount Vernon, Baltimore, Maryland, 21201, United States, University of Maryland Baltimore County, 1000, Hilltop Circle, Baltimore, Baltimore County, Maryland, 21250, United States, University of Maryland Baltimore, West Lombard Street, Chinatown, Sowebo, Baltimore, Maryland, 21201, United States"
Iowa State University,Iowa State University; University of Science & Technology; Ames National Laboratory; USDA-ARS,42.033054325,-93.62842245,144,"Ames National Laboratory, 311, Morrill Road, Frederiksen Court, Ames, Story County, Iowa, 50011, United States, Iowa State University, Lindenwood Circle, Northridge Parkway, Ames, Story County, Iowa, 50011, United States, USDA-ARS National Animal Disease Center, I 35, Ames, Milford Township, Story County, Iowa, 50019, United States"
Auburn University,Auburn University,32.5919528,-85.4959775,140,"Auburn University, Auburn, Lee County, Alabama, 36849, United States"
University of Florida,University of Florida,29.6411884,-82.3562296,137,"University of Florida, Fletcher Drive, Gainesville, Alachua County, Florida, 32611, United States"
Northwestern University,Northwestern University; Loyola University Chicago,42.02743245,-87.66633245,135,"Loyola University Chicago, 1032, West Sheridan Road, Edgewater Glen, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States, Northwestern University, 633, Clark Street, Downtown, Evanston, Evanston Township, Cook County, Illinois, 60208, United States"
University of Oklahoma,University of Oklahoma,35.1959878,-97.4457083,127,"University of Oklahoma, 660, Parrington Oval, Norman, Cleveland County, Oklahoma, 73019, United States"
University of Alabama,The University of Alabama; University of Alabama; University of alabama,33.2136006,-87.54399920000002,123,"Chabad at The University of Alabama, 17, Sherwood Drive, Audubon Place, Sherwood, Tuscaloosa, Tuscaloosa County, Alabama, 35401, United States, University of Alabama, Julia Tutwiler Drive, Buena Vista, Tuscaloosa, Tuscaloosa County, Alabama, 35487, United States"
University of Pennsylvania,Science History Institute; University of Pennsylvania; Drexel University; Children's Hospital of Philadelphia,39.951032575,-75.1815277,116,"Children's Hospital of Philadelphia, 3401, Civic Center Boulevard, University City, West Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19104, United States, Drexel University, 3141, Chestnut Street, University City, West Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19104, United States, Science History Institute, 315, Chestnut Street, Society Hill, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19106, United States, University of Pennsylvania, Grays Ferry Avenue, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19104, United States"
National University of Singapore,National University of Singapore; Temasek Life Sciences Laboratory; National University Of Singapore; National university of Singapore; Singapore Institute of Technology,1.2966282999999998,103.77749186000001,111,"National University of Singapore, Heng Mui Keng Terrace, Southern Waterfront, Queenstown, Southwest, Singapore, 119614, Singapore, Singapore Institute of Technology (Dover), 10, Dover Drive, one-north, Queenstown, Central, Singapore, 138683, Singapore, Temasek Life Sciences Laboratory, Research Link, Southern Waterfront, Queenstown, Southwest, Singapore, 118411, Singapore"
Hongik University,Korea Institute of Science and Technology; Kyung Hee University; Kwangwoon University; Hanyang University; Seoul National University; Ewha Womans University; Yonsei University; Sungkyunkwan University (SKKU); Chung-Ang University; Korea Institute of science and technology; Kookmin University; Myongji University; Soongsil University; Hongik University; Chung Ang University,37.56100883333333,126.98620790666668,111,"경희대학교 서울캠퍼스, 26, 경희대로, 회기동, 동대문구, 서울특별시, 02447, 대한민국, 광운대학교, 광운로7길, 월계1동, 노원구, 서울특별시, 01888, 대한민국, 국민대학교, 정릉로, 정릉동, 정릉3동, 성북구, 서울특별시, 02703, 대한민국, 명지대학교 인문캠퍼스, 34, 거북골로, 남가좌동, 남가좌2동, 서대문구, 서울특별시, 03674, 대한민국, 서울대학교, 1, 관악로, 대학동, 관악구, 서울특별시, 08826, 대한민국, 성균관대학교 인문사회과학캠퍼스, 25-2, 성균관로, 명륜2가, 혜화동, 종로구, 서울특별시, 03063, 대한민국, 숭실대학교, 369, 상도로, 상도1동, 동작구, 서울특별시, 07040, 대한민국, 연세대학교 신촌캠퍼스, 50, 연세로, 신촌동, 서대문구, 서울특별시, 03722, 대한민국, 이화여자대학교, 52, 이화여대길, 대현동, 신촌동, 서대문구, 서울특별시, 03760, 대한민국, 중앙대학교, 흑석로, 흑석동, 동작구, 서울특별시, 06972, 대한민국, 한국과학기술연구원, 화랑로13길, 하월곡동, 월곡2동, 성북구, 서울특별시, 02748, 대한민국, 한양대, 왕십리로, 사근동, 성동구, 서울특별시, 04763, 대한민국, 홍익대학교 서울캠퍼스, 94, 와우산로, 4통, 서강동, 마포구, 서울특별시, 04066, 대한민국"
Cornell University,Cornell University,42.4529076,-76.4800842,111,"Cornell University, City of Ithaca, Town of Dryden, Tompkins County, New York, 14850, United States"
Caltech Institute of Technology,"Caltech; California Institute of Technology; Caltech Institute of Technology; California Institute of Technology - Pasadena, CA",34.1370138,-118.1252883,110,"California Institute of Technology, East Del Mar Boulevard, Pasadena Council District 7, Pasadena, Los Angeles County, California, 91106, United States"
Sandia National Laboratories,Lawrence Livermore National Laboratory; Sandia National Laboratories; Lam Research Corporation,37.688589533333335,-121.7401623,108,"Lam Research Corporation, 1, Portola Avenue, Livermore, Alameda County, California, 94551, United States, Lawrence Livermore National Laboratory, Greenville Road, Livermore, Alameda County, California, 94605, United States, Sandia National Laboratories, Silverado Lane, Livermore, Alameda County, California, 94605, United States"
Indian Institute of Technology Bombay,"Indian Institute of Technology, Bombay; IIT Bombay; Indian Institute of Technology Bombay; Indian Institute of technology Bombay; IIT Mumbai; Indian Institute of Technology - Bombay; IITB; IIT BOMBAY; Indian Institute of Technology,Bombay; Indian Institute of Technology Bombay, Powai",19.1326186,72.9149702,105,"Indian Institute of Technology Bombay, Powai, Zone 6, Mumbai Suburban, Maharashtra, 400076, India"
Washington University in St Louis,"Washington University in St. Louis; Washington University in St Louis; MilliporeSigma; Washington University in St louis; Saint Louis University; Millipore Sigma; Donald Danforth Plant Science Center; Washington University in St. Louis,; Washington University in St.Louis",38.640798588888885,-90.28978154444445,97,"Donald Danforth Plant Science Center, 975, North Warson Road, Olivette, Saint Louis County, Missouri, 63131, United States, Millipore Sigma, Saint Louis, Missouri, United States, MilliporeSigma, 3500, Dekalb Street, Marine Villa, Saint Louis, Missouri, 63118, United States, Saint Louis University, 1, North Grand Boulevard, Covenant Blu Grand Center, Saint Louis, Missouri, 63103, United States, Washington University in St. Louis, 1, Brookings Drive, Skinker DeBaliviere, Saint Louis, Missouri, 63130, United States"
Tsinghua university,"Tsinghua University; tsinghua university; Tsinghua University, P.R.China; Tsinghua university",40.0022905,116.320963,94,"清华大学, 30, 双清路, 东升镇, 海淀区, 北京市, 100084, 中国"
University of Connecticut,University of Connecticut; UConn,41.8111114,-72.2483889,94,"University of Connecticut, North Eagleville Road, Mansfield, Capitol Planning Region, Connecticut, 06269, United States"
"Merck & Co., Inc.","Merck & Co., Inc; Merck & Co., Inc.; Merck & Co, Inc.; Merck & Co. Inc.",40.21103505,-75.3003919,93,"Merck & Co Inc, Upper Gwynedd Township, Montgomery County, Pennsylvania, United States, Merck Nature Trail, Merck & Co Inc, West Point, Upper Gwynedd Township, Montgomery County, Pennsylvania, 19486, United States"
Bristol Myers Squibb,University of Maryland; Bristol-Myers Squibb; Bristol Myers Squibb; Robert Bosch GmbH,48.1292363,11.5812022,82,"Bristol-Myers Squibb, 29, Arnulfstraße, Marsfeld, Maxvorstadt, Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80636, Deutschland, Robert Bosch GmbH, Berg am Laim, München, Bayern, 81673, Deutschland, University of Maryland, Stadelheim, Obergiesing, Obergiesing-Fasangarten, München, Bayern, 81547, Deutschland"
University of South Carolina,University of South Carolina,33.9928841,-81.0268676,82,"University of South Carolina, Catawba Street, Columbia, Richland County, South Carolina, 29201, United States"
University of Illinois Chicago,University of Illinois Chicago; The University of Chicago; Illinois Institute of Technology,41.832161066666664,-87.62530033333333,82,"Illinois Institute of Technology, East 31st Street, Douglas, Chicago, Cook County, Illinois, 60616, United States, The University of Chicago, 5801, South Ellis Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States, University of Illinois Chicago, 1200, West Harrison Street, Little Italy, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States"
University of California San Diego,"University of California San Diego; University of California, San Diego; UCSD; university of california san diego; PORTON USA; Porton USA",32.87783769999999,-117.22710246666666,80,"Porton, 4059, Miramar Street, University City, San Diego, San Diego County, California, 92037, United States, University of California, San Diego, 9500, Gilman Drive, San Diego, San Diego County, California, 92093, United States"
"University of California, Riverside","University of California Riverside; University of California, Riverside; UNIVERSITY OF CALIFORNIA, RIVERSIDE; University Of California Riverside; UC Riverside; University of California, riverside",33.9642576,-117.3398097,80,"University of California, Riverside, 900, University Avenue, Riverside, Riverside County, California, 92521, United States"
University of California Santa Barbara,"University of California, Santa Barbara; University of California Santa Barbara; Engineering Science; University of California-Santa Barbara; University of California - Santa Barbara",34.41480948,-119.84491292,77,"Engineering Science, Mesa Road, Isla Vista, Santa Barbara County, California, 93107, United States, University of California, Santa Barbara, 552, Storke Road, Isla Vista, Santa Barbara County, California, 93106, United States"
Louisiana State University,Louisiana State University,30.4062005,-91.1854129,75,"Louisiana State University, Illinois Street, Nicholson Estates, Baton Rouge, East Baton Rouge Parish, Louisiana, 70803, United States"
Arizona State University,Arizona State University; arizona state university; The University of Arizona,33.422653833333335,-111.96481396666667,74,"Arizona State University, 1151, South Forest Avenue, Tempe Junction, Tempe, Maricopa County, Arizona, 85281, United States, Lutheran Social Services of the Southwest, 2502, East University Drive, Phoenix, Maricopa County, Arizona, 85034, United States"
Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University; Virginia Tech,37.2219268,-80.4272818,74,"Virginia Tech, 800, Drillfield Drive, Keister Addition, Blacksburg, Montgomery County, Virginia, 24061, United States"
"University of California, Irvine","University of California, Irvine; National Academies; University of California Irvine; Department of Chemical and Biomolecular Engineering; Dow, Inc.; University of California-Irvine; Department of Chemical and Biomolecular Engineering, University of California, Irvine",33.653261171428575,-117.83812945714286,74,"Beckman Center, 100, Academy Way, University Research Center, Irvine, Orange County, California, 92617, United States, Department of Chemical and Biomolecular Engineering, South Circle View, University of California, Irvine, Irvine, Orange County, California, 92697, United States, DeviceLab Inc., 3002, Dow Avenue, Tustin, Orange County, California, 92780, United States, University of California, Irvine, Ring Mall, University of California, Irvine, Irvine, Orange County, California, 92697, United States"
The Dow Chemical Company,The Dow Chemical Company,40.1633941,-75.4651946,74,"The Dow Chemical Company, Troutman Road, Arcola Corporate Campus, Yerkes, Upper Providence Township, Montgomery County, Pennsylvania, 19426, United States"
Argonne National Laboratory,Argonne National Laboratory; Argonne National Lab; Argonne national laboratory,41.712022100000006,-87.97847346666667,73,"Argonne National Lab, Outer Circle, DuPage County, Illinois, 60561, United States, Argonne National Laboratory, 9700, Cass Avenue, Lemont, DuPage County, Illinois, 60439, United States"
University of New Haven,University of New Haven; Yale University,41.27402215,-72.9761542,71,"University of New Haven, Allan Street, Allingtown, West Haven, South Central Connecticut Planning Region, Connecticut, 06516, United States, Yale University, West Haven, South Central Connecticut Planning Region, Connecticut, 06516, United States"
University of Virginia,University of Virginia,38.0410576,-78.5055084,71,"University of Virginia, Faulconer Drive, University of Virginia, Albemarle County, Virginia, 22903, United States"
University of Tennessee,"The University of Tennessee Knoxville; University of Tennessee; University of Tennessee-Knoxville; The University of Tennessee; University of Tennessee, Knoxville; University of Tennessee Knoxville",35.9515982,-83.93088095,71,"University of Tennessee, Knoxville, Cumberland Avenue, Cumberland District, Fort Sanders, Knoxville, Knox County, East Tennessee, Tennessee, 37996, United States, University of Tennessee, Knoxville, Knox County, East Tennessee, Tennessee, United States"
Worcester Polytechnic Institute,Worcester Polytechnic Institute; University of Massachusetts Medical School; Clariant Corporation; WPI,42.2893383,-71.805867725,69,"Clariant Corporation, 85, Industrial Drive, Dawson, Holden, Worcester County, Massachusetts, 01520, United States, University of Massachusetts Medical School, Second Road, Worcester, Worcester County, Massachusetts, 01653, United States, WPI South Village, Sever Street, Elm Park, Hammond Heights, Worcester, Worcester County, Massachusetts, 01609, United States, Worcester Polytechnic Institute, 100, Institute Road, Massachusetts Avenue Historic District, Hammond Heights, Worcester, Worcester County, Massachusetts, 01609, United States"
Case Western Reserve University,Case Western Reserve University; Cleveland State University,41.501985149999996,-81.63789464999999,69,"Case Western Reserve University, 10900, Euclid Avenue, Uptown, Cleveland, Cuyahoga County, Ohio, 44106, United States, Cleveland State University, 2121, Euclid Avenue, Downtown Cleveland, Cleveland, Cuyahoga County, Ohio, 44115, United States"
Wayne State University,Wayne State University,42.3571895,-83.0709436,68,"Wayne State University, 656, West Kirby Street, Midtown, Detroit, Wayne County, Michigan, 48202, United States"
University of Missouri,University of Missouri; University of Missouri-Columbia; University of Missouri Columbia,38.9364147,-92.329703,67,"University of Missouri, Columbia, Columbia Township, Boone County, Missouri, 65211, United States"
University of California Davis,"UC Davis; University of California - Davis; University of California Davis; University of California, Davis; UC DAVIS",38.5337904,-121.7907544,67,"University of California, Davis, 1, Newton Court, Davis, Yolo County, California, 95616, United States"
University of Utah,University of Utah,40.7628137,-111.8368719,66,"University of Utah, 201, Presidents Circle, Salt Lake City, Salt Lake County, Utah, 84112, United States"
Brown University,Brown University; Rhode Island School of Design,41.82287165,-71.4075955,65,"Brown University, Carrington Avenue, Blackstone, Providence, Providence County, Rhode Island, 02912, United States, Rhode Island School of Design, Providence County, Rhode Island, 02912, United States"
Oak Ridge National Laboratory,Oak Ridge National Laboratory; Oak Ridge National laboratory,35.9301332,-84.3119307,65,"Oak Ridge National Laboratory, Oak Ridge, Roane County, East Tennessee, Tennessee, United States"
