affil_norm,mapped_to,label,latitude,longitude,match_type,score,suggestions
alexandria university and egyptian russian university,,alexandria university and egyptian russian university,,,unmapped,,[]
alice - associate laboratory in chemical engineering  faculty of engineering  university of porto,,alice - associate laboratory in chemical engineering  faculty of engineering  university of porto,,,unmapped,,[]
alkermes,,alkermes,,,unmapped,,[]
alkermes  inc,,alkermes  inc,,,unmapped,,[]
allegrow biotech,,allegrow biotech,,,unmapped,,[]
alma mater studiorum - university of bologna,,alma mater studiorum - university of bologna,,,suggested,,"[('university of bologna', 0.6461538461538462), ('hamburg university of technology', 0.5789473684210527)]"
alphane labs  inc,,alphane labs  inc,,,unmapped,,[]
amgen research  gmbh,,amgen research  gmbh,,,suggested,,"[('army research lab', 0.7027027027027027), ('ibm research uk', 0.6285714285714286), ('chevron research', 0.6111111111111112), ('nasa glenn research center', 0.6086956521739131)]"
amgen research munich,,amgen research munich,,,suggested,,"[('ibm research uk', 0.6666666666666666), ('nasa glenn research center', 0.6382978723404256), ('army research lab', 0.631578947368421)]"
amofor gmbh,,amofor gmbh,,,suggested,,"[('evon gmbh', 0.6)]"
ampère sas,,ampère sas,,,unmapped,,[]
amyris,,amyris,,,unmapped,,[]
andlinger center for energy and the environment,,andlinger center for energy and the environment,,,suggested,,"[('national institute for public health and the environment', 0.6407766990291263)]"
ankara university,,ankara university,,,suggested,,"[('qatar university', 0.8484848484848485), ('lamar university', 0.8484848484848485), ('korea university', 0.8484848484848485), ('naresuan university', 0.7222222222222222), ('yantai university', 0.8235294117647058)]"
ansys,,ansys,,,suggested,,"[('avnos', 0.6), ('ansto', 0.6)]"
ansys inc,,ansys inc,,,suggested,,"[('css inc', 0.75), ('mars, inc.', 0.631578947368421), ('mayo clinic', 0.6), ('amgen, inc.', 0.6)]"
anton paar gmbh,,anton paar gmbh,,,suggested,,"[('anton paar', 0.8)]"
aopia biosciences  inc,,aopia biosciences  inc,,,suggested,,"[('physical sciences inc.', 0.6363636363636364)]"
applied circular engineering and simulation group   universidad san francisco de quito usfq,,applied circular engineering and simulation group   universidad san francisco de quito usfq,,,unmapped,,[]
aqua cultured foods,,aqua cultured foods,,,unmapped,,[]
aramco americas,,aramco americas,,,suggested,,"[('braskem america', 0.7333333333333333)]"
ardent process technologies,,ardent process technologies,,,unmapped,,[]
argonne national labs,,argonne national labs,,,suggested,,"[('argonne national laboratory', 0.8333333333333334), ('national lab', 0.7272727272727273), ('sandia national laboratories', 0.6530612244897959), ('idaho national laboratory', 0.6521739130434783), ('brookhaven national laboratory', 0.5882352941176471)]"
arish university and egyptian russian university,,arish university and egyptian russian university,,,unmapped,,[]
aristosys  llc  contractor to national energy technology laboratory,,aristosys  llc  contractor to national energy technology laboratory,,,unmapped,,[]
arizona geological survey,,arizona geological survey,,,unmapped,,[]
armi biofab usa,,armi biofab usa,,,unmapped,,[]
army research laboratory,,army research laboratory,,,suggested,,"[('army research lab', 0.8292682926829268), ('oak ridge national laboratory', 0.6037735849056604), ('national renewable energy laboratory', 0.6)]"
artie mcferrin department of chemical engineering  texas aandm university,,artie mcferrin department of chemical engineering  texas aandm university,,,unmapped,,[]
asahi kasei biomedical,,asahi kasei biomedical,,,unmapped,,[]
aspentech de mexico,,aspentech de mexico,,,unmapped,,[]
asr innovation center  tellus products,,asr innovation center  tellus products,,,unmapped,,[]
asu,,asu,,,suggested,,"[('fau', 0.6666666666666666)]"
avgi bv,,avgi bv,,,unmapped,,[]
avnos  inc,,avnos  inc,,,suggested,,"[('avnos', 0.6666666666666666), ('mars, inc.', 0.6)]"
babol noshirvani university of technology,,babol noshirvani university of technology,,,suggested,,"[('dalian university of technology', 0.8333333333333334), ('poznan university of technology', 0.8055555555555556), ('amirkabir university of technology', 0.7733333333333333), ('warsaw university of technology', 0.7777777777777778), ('graz university of technology', 0.7428571428571429)]"
badr university in cairo,,badr university in cairo,,,suggested,,"[('baylor university', 0.6829268292682927), ('the university of akron', 0.6808510638297872), ('university of calgary', 0.6666666666666666), ('andrews university', 0.6666666666666666), ('university of maine', 0.6046511627906976)]"
barnard college,,barnard college,,,suggested,,"[('augsburg college', 0.6451612903225806), ('lafayette college', 0.625), ('dartmouth college', 0.625)]"
barrington community high school,,barrington community high school,,,unmapped,,[]
bascat - unicat basf jointlab - tu berlin,,bascat - unicat basf jointlab - tu berlin,,,unmapped,,[]
basf environmental catalyst and metal solutions,,basf environmental catalyst and metal solutions,,,unmapped,,[]
basf se  group research,,basf se  group research,,,suggested,,"[('chevron research', 0.6153846153846154)]"
basque center for applied mathematics,,basque center for applied mathematics,,,unmapped,,[]
battelle,,battelle,,,unmapped,,[]
battelle memorial institute,,battelle memorial institute,,,suggested,,"[('paul scherrer institute', 0.56)]"
battelle netl,,battelle netl,,,unmapped,,[]
bcsir-central scientific instruments organisation,,bcsir-central scientific instruments organisation,,,unmapped,,[]
bcsir-central scientific instruments organisation  sector 30-c  160030  india,,bcsir-central scientific instruments organisation  sector 30-c  160030  india,,,unmapped,,[]
ben gurion university,,ben gurion university,,,suggested,,"[('nihon university', 0.8108108108108109), ('brown university', 0.8108108108108109), ('auburn university', 0.7894736842105263), ('chang gung university', 0.7619047619047619), ('trine university', 0.7567567567567568)]"
bentley university,,bentley university,,,suggested,,"[('liberty university', 0.8333333333333334), ('ghent university', 0.8235294117647058), ('ege university', 0.8125), ('tulane university', 0.6857142857142857), ('widener university', 0.7777777777777778)]"
bernal institute  university of limerick,,bernal institute  university of limerick,,,suggested,,"[('university of limerick', 0.7096774193548387), ('soka university of america', 0.6363636363636364), ('aristotle university of thessaloniki', 0.631578947368421), ('american university of beirut', 0.5797101449275363), ('the university of maine', 0.5714285714285714)]"
bernard and irene schwartz center for biomedical imaging  department of radiology  new york university grossman school of medicine  new york  new york  10016  usa,,bernard and irene schwartz center for biomedical imaging  department of radiology  new york university grossman school of medicine  new york  new york  10016  usa,,,unmapped,,[]
beth israel deaconess medical center  boston,,beth israel deaconess medical center  boston,,,unmapped,,[]
bielefeld university,,bielefeld university,,,suggested,,"[('lakehead university', 0.717948717948718), ('bucknell university', 0.7692307692307693), ('ege university', 0.7647058823529411), ('mcgill university', 0.7567567567567568), ('lund university', 0.7428571428571429)]"
biofine technology llc,,biofine technology llc,,,suggested,,"[('aspen technology inc.', 0.6511627906976745), ('freeman technology', 0.65), ('em ai technology', 0.631578947368421), ('shell technology center', 0.6222222222222222), ('harbin institute of technology', 0.5769230769230769)]"
biohaven pharmaceuticals,,biohaven pharmaceuticals,,,suggested,,"[('janssen pharmaceuticals', 0.8085106382978723)]"
biological systems and engineering division  lawrence berkeley national laboratory,,biological systems and engineering division  lawrence berkeley national laboratory,,,unmapped,,[]
biomade,,biomade,,,unmapped,,[]
bionanonet,,bionanonet,,,suggested,,"[('cic nanogune', 0.6363636363636364)]"
biopharm services,,biopharm services,,,unmapped,,[]
biostealth  inc,,biostealth  inc,,,unmapped,,[]
biosystem and agricultural engineering  university of kentucky,,biosystem and agricultural engineering  university of kentucky,,,unmapped,,[]
bits pilani k k birla goa campus,,bits pilani k k birla goa campus,,,unmapped,,[]
bloomage biotechnology corporation limited,,bloomage biotechnology corporation limited,,,unmapped,,[]
boehringer ingelheim pharma gmbh and co  kg,,boehringer ingelheim pharma gmbh and co  kg,,,suggested,,"[('boehringer ingelheim', 0.6349206349206349)]"
boehringer ingelheim pharma gmbh and co kg,,boehringer ingelheim pharma gmbh and co kg,,,suggested,,"[('boehringer ingelheim', 0.6451612903225806)]"
boehringer ingelheim pharmaceuticals  inc,,boehringer ingelheim pharmaceuticals  inc,,,suggested,,"[('boehringer ingelheim', 0.6557377049180327)]"
boehringer ingelheim pharmaceuticals inc,,boehringer ingelheim pharmaceuticals inc,,,suggested,,"[('boehringer ingelheim', 0.6666666666666666), ('janssen pharmaceuticals', 0.5714285714285714)]"
boehringer-ingelheim pharm  inc,,boehringer-ingelheim pharm  inc,,,suggested,,"[('boehringer ingelheim', 0.7450980392156863)]"
borsodchem ltd,,borsodchem ltd,,,unmapped,,[]
borsodchem ltd   bolyai tér 1   h-3700 kazincbarcika  hungary,,borsodchem ltd   bolyai tér 1   h-3700 kazincbarcika  hungary,,,unmapped,,[]
boston university,,boston university,,,suggested,,"[('hoseo university', 0.8484848484848485), ('brown university', 0.8484848484848485), ('ohio university', 0.8125), ('western university', 0.8), ('hampton university', 0.8)]"
brewer science  inc,,brewer science  inc,,,unmapped,,[]
brigham and women s hospital,,brigham and women s hospital,,,unmapped,,[]
brigham and women s hospital  harvard medical school  harvard stem cell institute,,brigham and women s hospital  harvard medical school  harvard stem cell institute,,,unmapped,,[]
brimstone energy,,brimstone energy,,,unmapped,,[]
bristol-myers squibb  inc,,bristol-myers squibb  inc,,,suggested,,"[('bristol myers squibb', 0.8444444444444444)]"
broad institute,,broad institute,,,suggested,,"[('the cyprus institute', 0.6285714285714286), ('institution', 0.6153846153846154)]"
broad institute of harvard and massachusetts institute of technology,,broad institute of harvard and massachusetts institute of technology,,,unmapped,,[]
broad institute of mit and harvard,,broad institute of mit and harvard,,,suggested,,"[('srm institute of science and technology', 0.6027397260273972)]"
brookhaven laboratory,,brookhaven laboratory,,,suggested,,"[('brookhaven national laboratory', 0.8235294117647058), ('oak ridge national laboratory', 0.56)]"
budapest university of technology and economics,,budapest university of technology and economics,,,suggested,,"[('warsaw university of technology', 0.6923076923076923), ('dalian university of technology', 0.6923076923076923), ('clausthal university of technology', 0.691358024691358), ('graz university of technology', 0.6842105263157895), ('hamburg university of technology', 0.6835443037974683)]"
butler university,,butler university,,,suggested,,"[('tulane university', 0.8235294117647058), ('baylor university', 0.8235294117647058), ('auburn university', 0.8235294117647058), ('duke university', 0.8125), ('western university', 0.8)]"
c-sops  department of chemical and biochemical engineering  rutgers  the state university of new jersey,,c-sops  department of chemical and biochemical engineering  rutgers  the state university of new jersey,,,unmapped,,[]
cadfem india,,cadfem india,,,unmapped,,[]
cal poly pomona,,cal poly pomona,,,unmapped,,[]
california baptist university,,california baptist university,,,suggested,,"[('california state university long beach', 0.7164179104477612), ('florida atlantic university', 0.7142857142857143), ('california state university-bakersfield', 0.7058823529411765), ('colorado state university', 0.7037037037037037), ('khalifa university', 0.6808510638297872)]"
california inst of technology,,california inst of technology,,,suggested,,"[('florida institute of technology', 0.8), ('georgia institute of technology', 0.7666666666666667), ('chiba institute of technology', 0.7586206896551724), ('harbin institute of technology', 0.7457627118644068), ('vellore institute of technology', 0.7333333333333333)]"
california institute of technology - pasadena  ca,,california institute of technology - pasadena  ca,,,suggested,,"[('indian institute of technology bhu varanasi', 0.6956521739130435), ('indian institute of technology ropar', 0.7294117647058823), ('indian institute of technology delhi', 0.7294117647058823), ('florida institute of technology', 0.725), ('indian institute of technology jammu', 0.7058823529411765)]"
cambridge centre for advanced research and education in singapore,,cambridge centre for advanced research and education in singapore,,,unmapped,,[]
cambridge simulation solutions ltd,,cambridge simulation solutions ltd,,,unmapped,,[]
cameron  a schlumberger company,,cameron  a schlumberger company,,,unmapped,,[]
canmetenergy,,canmetenergy,,,suggested,,"[('jara-energy', 0.6086956521739131), ('feed energy', 0.6086956521739131)]"
carbon america,,carbon america,,,suggested,,"[('braskem america', 0.6206896551724138)]"
carbotech ac gmbh,,carbotech ac gmbh,,,unmapped,,[]
carleton college,,carleton college,,,suggested,,"[('dartmouth college', 0.7272727272727273), ('lafayette college', 0.6666666666666666), ('augsburg college', 0.625)]"
carnegie institution for science,,carnegie institution for science,,,suggested,,"[('indian institute of science', 0.711864406779661), ('institute of science tokyo', 0.6206896551724138)]"
carnegie mellon univeristy,,carnegie mellon univeristy,,,suggested,,"[('cornell university', 0.7272727272727273), ('cape breton university', 0.7083333333333334), ('mcgill university', 0.6976744186046512), ('chang gung university', 0.6808510638297872), ('nihon university', 0.6666666666666666)]"
carnegie mellon university,,carnegie mellon university,,,suggested,,"[('cornell university', 0.7727272727272727), ('cape breton university', 0.75), ('mcgill university', 0.7441860465116279), ('chang gung university', 0.723404255319149), ('nihon university', 0.7142857142857143)]"
cascade designs inc,,cascade designs inc,,,unmapped,,[]
catholic university of louvain,,catholic university of louvain,,,suggested,,"[('the university of maine', 0.7547169811320755), ('the university of melbourne', 0.7368421052631579), ('the university of utah', 0.7307692307692307), ('the university of akron', 0.7169811320754716), ('the university of kansas', 0.7037037037037037)]"
ccdc army research laboratory,,ccdc army research laboratory,,,suggested,,"[('army research lab', 0.7391304347826086)]"
ccny grove school of engineering,,ccny grove school of engineering,,,suggested,,"[('famu-fsu college of engineering', 0.5714285714285714)]"
cedars-sinai medical center,,cedars-sinai medical center,,,suggested,,"[('university of mississippi medical center', 0.6268656716417911)]"
center for bioenergy innovation,,center for bioenergy innovation,,,unmapped,,[]
center for bioenergy innovation  oak ridge national laboratory,,center for bioenergy innovation  oak ridge national laboratory,,,suggested,,"[('oak ridge national laboratory', 0.6373626373626373)]"
center for biofilm engineering,,center for biofilm engineering,,,unmapped,,[]
center for environmentally beneficial catalysis,,center for environmentally beneficial catalysis,,,unmapped,,[]
center for interdisciplinary research and innovation of aristotle university of thessaloniki,,center for interdisciplinary research and innovation of aristotle university of thessaloniki,,,unmapped,,[]
center for plastics innovation  university of delaware,,center for plastics innovation  university of delaware,,,unmapped,,[]
center for structural molecular biology  oak ridge national laboratory,,center for structural molecular biology  oak ridge national laboratory,,,unmapped,,[]
center for synthetic biology,,center for synthetic biology,,,unmapped,,[]
center for tuberculosis  ucsf,,center for tuberculosis  ucsf,,,unmapped,,[]
center of excellence for aerospace particulate emissions reduction research missouri sandt  65409,,center of excellence for aerospace particulate emissions reduction research missouri sandt  65409,,,unmapped,,[]
central south university,,central south university,,,suggested,,"[('georgia southern university', 0.7843137254901961), ('central michigan university', 0.7843137254901961), ('kent state university', 0.7555555555555555), ('earth university', 0.75), ('southwest university', 0.7272727272727273)]"
centro de investigação de montanha   instituto politécnico de bragança  campus de santa apolónia  5300-253,,centro de investigação de montanha   instituto politécnico de bragança  campus de santa apolónia  5300-253,,,unmapped,,[]
centro regional de estudios en alimentos saludables  creas,,centro regional de estudios en alimentos saludables  creas,,,unmapped,,[]
century therapeutics,,century therapeutics,,,unmapped,,[]
chair of applied mathematics,,chair of applied mathematics,,,unmapped,,[]
chalmers university,,chalmers university,,,suggested,,"[('clemson university', 0.8108108108108109), ('lamar university', 0.8), ('clarkson university', 0.7894736842105263), ('baylor university', 0.7777777777777778), ('aarhus university', 0.7222222222222222)]"
chapman university,,chapman university,,,suggested,,"[('hampton university', 0.8333333333333334), ('lamar university', 0.8235294117647058), ('inha university', 0.7878787878787878), ('oakland university', 0.7777777777777778), ('khalifa university', 0.7777777777777778)]"
charles university,,charles university,,,suggested,,"[('clemson university', 0.8333333333333334), ('andrews university', 0.8333333333333334), ('naresuan university', 0.8108108108108109), ('clarkson university', 0.8108108108108109), ('aarhus university', 0.8)]"
chartered process engineer,,chartered process engineer,,,unmapped,,[]
chemical and biological engineering  iowa state university,,chemical and biological engineering  iowa state university,,,unmapped,,[]
chemical and biomolecular engineering  university of delaware,,chemical and biomolecular engineering  university of delaware,,,unmapped,,[]
chemical engineering department  faculty of engineering  cairo university,,chemical engineering department  faculty of engineering  cairo university,,,unmapped,,[]
chemical engineering department  universidad michoacana de san nicolás de hidalgo,,chemical engineering department  universidad michoacana de san nicolás de hidalgo,,,suggested,,"[('universidad michoacana de san nicolás de hidalgo', 0.7441860465116279)]"
chemical sciences and engineering division  argonne national laboratory,,chemical sciences and engineering division  argonne national laboratory,,,unmapped,,[]
chemistry and biochemistry,,chemistry and biochemistry,,,unmapped,,[]
chevron energy technology company,,chevron energy technology company,,,unmapped,,[]
chevron technical center,,chevron technical center,,,suggested,,"[('shell technology center', 0.6808510638297872)]"
children s hospital of philadelphia,,children s hospital of philadelphia,,,unmapped,,[]
chonnam national university,,chonnam national university,,,suggested,,"[('yokohama national university', 0.8363636363636363), ('hankyong national university', 0.8363636363636363), ('kongju national university', 0.8301886792452831), ('pukyong national university', 0.8148148148148148), ('kangwon national university', 0.8148148148148148)]"
chool of materials science and engineering  henan university of technology  zhengzhou city  450001  pr china,,chool of materials science and engineering  henan university of technology  zhengzhou city  450001  pr china,,,unmapped,,[]
chung-ang university,,chung-ang university,,,suggested,,"[('chang gung university', 0.8292682926829268), ('tunghai university', 0.7894736842105263), ('chulalongkorn university', 0.7727272727272727), ('zhejiang university', 0.7692307692307693), ('yeungnam university', 0.7692307692307693)]"
ciatec,,ciatec,,,suggested,,"[('imec', 0.6)]"
citrine informatics,,citrine informatics,,,unmapped,,[]
city college of new york,,city college of new york,,,suggested,,"[('university college cork', 0.6382978723404256)]"
city college of new york  cuny,,city college of new york  cuny,,,unmapped,,[]
city of santa monica,,city of santa monica,,,suggested,,"[('university of salamanca', 0.5581395348837209), ('university of pannonia', 0.6190476190476191), ('university of cantabria', 0.6046511627906976)]"
city university of hong kong,,city university of hong kong,,,suggested,,"[('university of wollongong', 0.7692307692307693), ('the university of tokyo', 0.7450980392156863), ('university of houston', 0.7346938775510204), ('university of washington', 0.6538461538461539), ('the university of akron', 0.7058823529411765)]"
cj cheiljedang,,cj cheiljedang,,,unmapped,,[]
clariant,,clariant,,,unmapped,,[]
clariant corp,,clariant corp,,,unmapped,,[]
clariant corporation,,clariant corporation,,,suggested,,"[('eaton corporation', 0.7567567567567568), ('basf corporation', 0.7222222222222222), ('evonik corporation', 0.6842105263157895), ('callaghan innovation', 0.6)]"
clark atlanta university,,clark atlanta university,,,suggested,,"[('clarkson university', 0.7906976744186046), ('florida atlantic university', 0.7843137254901961), ('oakland university', 0.7619047619047619), ('arkansas state university', 0.6938775510204082), ('yantai university', 0.7317073170731707)]"
cleveland state university,,cleveland state university,,,suggested,,"[('colorado state university', 0.8235294117647058), ('kent state university', 0.8085106382978723), ('wayne state university', 0.75), ('michigan state university', 0.7843137254901961), ('illinois state university', 0.7843137254901961)]"
clexbio,,clexbio,,,unmapped,,[]
climeworks,,climeworks,,,suggested,,"[('mathworks', 0.631578947368421)]"
cnrs,,cnrs,,,unmapped,,[]
cnrs  université de pau et des pays de l adour umr 5254  institut des sciences analytiques et de physico-chimie pour l environnement et les matériaux,,cnrs  université de pau et des pays de l adour umr 5254  institut des sciences analytiques et de physico-chimie pour l environnement et les matériaux,,,unmapped,,[]
cnrs create,,cnrs create,,,unmapped,,[]
coanda research and development corporation,,coanda research and development corporation,,,unmapped,,[]
colombian petroleum institute   ecopetrol s a,,colombian petroleum institute   ecopetrol s a,,,unmapped,,[]
colorado school of mines,,colorado school of mines,,,suggested,,"[('wake forest school of medicine', 0.6296296296296297)]"
colorado school of mines - cbe,,colorado school of mines - cbe,,,unmapped,,[]
columbia univeresity,,columbia univeresity,,,suggested,,"[('northumbria university', 0.8095238095238095), ('miami university', 0.7777777777777778), ('stockholm university', 0.75), ('ohio university', 0.7428571428571429), ('lund university', 0.7428571428571429)]"
commonwealth scientific and industrial research organization,,commonwealth scientific and industrial research organization,,,unmapped,,[]
complutense university of madrid,,complutense university of madrid,,,suggested,,"[('the university of maine', 0.7272727272727273), ('the university of akron', 0.6909090909090909), ('university of maribor', 0.6792452830188679), ('university of maine', 0.6666666666666666), ('university of ar', 0.6666666666666666)]"
consolidated nuclear security  llc,,consolidated nuclear security  llc,,,unmapped,,[]
continuus pharmaceuticals,,continuus pharmaceuticals,,,suggested,,"[('janssen pharmaceuticals', 0.75)]"
coolbrook oy,,coolbrook oy,,,unmapped,,[]
cooper union for the advancement of science and art,,cooper union for the advancement of science and art,,,unmapped,,[]
corning gmbh,,corning gmbh,,,suggested,,"[('evon gmbh', 0.6666666666666666)]"
corning incorporated,,corning incorporated,,,suggested,,"[('evonik corporation', 0.631578947368421)]"
corporate research and development  sabic,,corporate research and development  sabic,,,unmapped,,[]
corresponding authors,,corresponding authors,,,unmapped,,[]
cotierra ag,,cotierra ag,,,unmapped,,[]
covai corporation,,covai corporation,,,suggested,,"[('evonik corporation', 0.8), ('basf corporation', 0.7878787878787878), ('eaton corporation', 0.7647058823529411)]"
crysalis biosciences  inc,,crysalis biosciences  inc,,,suggested,,"[('physical sciences inc.', 0.723404255319149)]"
crystalgrower,,crystalgrower,,,unmapped,,[]
crystallization design institute  molecular sciences research center  university of puerto rico,,crystallization design institute  molecular sciences research center  university of puerto rico,,,unmapped,,[]
csir - central salt and marine chemicals research institute,,csir - central salt and marine chemicals research institute,,,unmapped,,[]
csir - indian institute of chemical technology,,csir - indian institute of chemical technology,,,suggested,,"[('institute of chemical technology mumbai', 0.7529411764705882), ('indian institute of technology ropar', 0.7317073170731707), ('indian institute of technology jammu', 0.7317073170731707), ('indian institute of technology delhi', 0.7317073170731707), ('srm institute of science and technology', 0.7294117647058823)]"
csir-indian institute of petroleum,,csir-indian institute of petroleum,,,suggested,,"[('indian institute of science', 0.7213114754098361), ('china university of petroleum', 0.5396825396825397), ('indian institute of technology jammu', 0.6857142857142857), ('indian institute of technology delhi', 0.6857142857142857), ('indian institute of technology bombay', 0.676056338028169)]"
csiro,,csiro,,,unmapped,,[]
csu- long beasch and fresno city college,,csu- long beasch and fresno city college,,,unmapped,,[]
cu boulder,,cu boulder,,,unmapped,,[]
cuny advanced science research center,,cuny advanced science research center,,,suggested,,"[('ibm almaden research center', 0.65625), ('nasa glenn research center', 0.6349206349206349)]"
curtin university,,curtin university,,,suggested,,"[('trine university', 0.8484848484848485), ('auburn university', 0.8235294117647058), ('lund university', 0.8125), ('inha university', 0.8125), ('tianjin university', 0.8)]"
curtin university  malaysis,,curtin university  malaysis,,,suggested,,"[('the university of maine', 0.68), ('university of calgary', 0.6666666666666666), ('the university of kansas', 0.6666666666666666), ('university of omaha', 0.6521739130434783), ('university of maine', 0.6521739130434783)]"
d  e  shaw research,,d  e  shaw research,,,unmapped,,[]
dana-farber cancer institute,,dana-farber cancer institute,,,unmapped,,[]
dastur energy  inc,,dastur energy  inc,,,unmapped,,[]
dave c  swalm school of chemical engineering  mississippi state university,,dave c  swalm school of chemical engineering  mississippi state university,,,unmapped,,[]
david a  rockstraw  ph  d   p  e   inc,,david a  rockstraw  ph  d   p  e   inc,,,unmapped,,[]
deep origin,,deep origin,,,unmapped,,[]
defense center for public health - dayton,,defense center for public health - dayton,,,unmapped,,[]
dell medical school  the university of texas at austin,,dell medical school  the university of texas at austin,,,suggested,,"[('university of texas at austin', 0.6987951807228916), ('the university of texas at el paso', 0.6590909090909091), ('the university of texas at tyler', 0.6511627906976745)]"
department of art  faculty of science and new technologies  islamic azad university e-campus,,department of art  faculty of science and new technologies  islamic azad university e-campus,,,unmapped,,[]
department of biochemistry  university of illinois at urbana-champaign,,department of biochemistry  university of illinois at urbana-champaign,,,unmapped,,[]
department of bioengineering and san diego supercomputer center  university of california  san diego,,department of bioengineering and san diego supercomputer center  university of california  san diego,,,unmapped,,[]
department of biological engineering,,department of biological engineering,,,suggested,,"[('u.s. department of energy', 0.6229508196721312)]"
department of biology,,department of biology,,,suggested,,"[('u.s. department of energy', 0.6956521739130435)]"
department of biology and entomology  pennsylvania state university,,department of biology and entomology  pennsylvania state university,,,suggested,,"[('pennsylvania state university', 0.6041666666666666)]"
department of chemical and biomolecular engineering,,department of chemical and biomolecular engineering,,,unmapped,,[]
department of chemical and biomolecular engineering  lehigh university,,department of chemical and biomolecular engineering  lehigh university,,,unmapped,,[]
department of chemical and biomolecular engineering  new york university tandon school of engineering  brooklyn  new york  11201  usa,,department of chemical and biomolecular engineering  new york university tandon school of engineering  brooklyn  new york  11201  usa,,,unmapped,,[]
department of chemical and biomolecular engineering  university of california  irvine,,department of chemical and biomolecular engineering  university of california  irvine,,,unmapped,,[]
department of chemical and biomolecular engineering  university of delaware  newark,,department of chemical and biomolecular engineering  university of delaware  newark,,,unmapped,,[]
department of chemical and environmental process engineering  faculty of chemical technology and biotechnology  budapest university of technology and economics,,department of chemical and environmental process engineering  faculty of chemical technology and biotechnology  budapest university of technology and economics,,,unmapped,,[]
department of chemical and petroleum engineering  university of kansas,,department of chemical and petroleum engineering  university of kansas,,,unmapped,,[]
department of chemical engineering  biotechnology and materials  centre for biotechnology and bioengineering  cebib  university of chile,,department of chemical engineering  biotechnology and materials  centre for biotechnology and bioengineering  cebib  university of chile,,,unmapped,,[]
department of chemical engineering  college of engineering  king khalid university  abha 61411  saudi arabia,,department of chemical engineering  college of engineering  king khalid university  abha 61411  saudi arabia,,,unmapped,,[]
department of chemical engineering  ku leuven  celestijnenlaan 200f  leuven  belgium,,department of chemical engineering  ku leuven  celestijnenlaan 200f  leuven  belgium,,,unmapped,,[]
department of chemical engineering  massachusetts institute of technology,,department of chemical engineering  massachusetts institute of technology,,,suggested,,"[('technion israel institute of technology', 0.5178571428571429)]"
department of chemical engineering  technion,,department of chemical engineering  technion,,,unmapped,,[]
department of chemical engineering  texas aandm university at qatar p  o  box 23874,,department of chemical engineering  texas aandm university at qatar p  o  box 23874,,,unmapped,,[]
