label,A_sep,A_uniq,B_authors,C_abstracts
ewha womans university,24,6,8,8
kwangwoon university,24,3,5,6
Clarkson University,22,9,15,11
The University of Tokyo,22,8,25,9
University of Cincinnati,22,7,20,9
Prairie View A&M University,22,7,13,9
University of Louisiana at Lafayette,22,6,20,7
hanyang university,22,6,17,14
Tokyo institute of technology,22,6,16,8
National Technical University of Athens,22,6,9,5
Kongju National University,22,5,19,16
Guangdong Technion Israel Institute of Technology,22,2,7,3
Yokohama National University,22,2,4,4
siemens industry software inc,22,1,3,4
United States Military Academy,20,9,45,9
Mississippi State University,20,8,22,13
"University of Puerto Rico, Mayaguez",20,7,19,14
The Hong Kong University of Science and Technology,20,7,18,11
Politecnico di Torino,20,7,16,10
Pfizer,20,6,22,8
University of Birmingham,20,6,20,12
max planck institute for dynamics of complex technical systems,20,6,16,11
The University of Toledo,20,6,15,10
Pusan National University,20,6,12,8
nyu tandon school of engineering,20,6,9,9
Liberty University,20,6,6,7
The University of Akron,20,5,19,16
University of Gothenburg,20,5,18,14
korea research institute of chemical technology,20,5,16,7
North Carolina A&T State University,20,5,14,8
Hankyong National University,20,5,7,6
University of Salamanca,20,3,9,8
ExxonMobil,20,3,5,6
SRM Institute of Science and Technology,20,2,10,5
DuPont,20,2,3,3
Washington State University,18,8,27,13
New Mexico State University,18,8,13,9
"University of Nevada, Reno",18,7,12,7
university of maryland  baltimore county,18,6,25,10
mainstream engineering corporation,18,6,13,7
East China University of Science and Technology,18,6,12,11
Vellore Institute of Technology,18,5,15,8
Ohio University,18,5,10,7
KTH Royal Institute of Technology,18,4,15,6
FAMU-FSU College of Engineering,18,4,14,8
University of Louisville,18,4,12,8
TotalEnergies,18,3,7,7
The University of Maine,18,3,6,6
university of naples federico ii,18,2,10,5
Barpimo S.A.,18,2,5,5
Indiana University,18,1,8,6
Miami University,16,8,20,9
KIST,16,7,9,9
Montana State University,16,6,16,8
Virginia Polytechnic Institute and State University,16,6,15,13
federal university of campina grande,16,5,11,4
University of Strathclyde,16,5,9,6
Queen's University,16,5,6,5
University of Mississippi,16,4,25,8
University of British Columbia,16,4,12,10
National Taiwan University,16,3,12,8
APC Ltd,16,3,11,4
Beijing University of Chemical Technology,16,3,5,4
alma mater studiorum - university of bologna,16,3,4,7
U.S. Department of Energy,16,2,6,6
University of Maine,14,6,19,8
University of Calgary,14,6,15,8
The University of Texas at Tyler,14,6,9,7
Oakland University,14,6,7,5
Bristol Myers Squibb,14,5,36,12
University of Wyoming,14,5,14,5
Savannah River National Laboratory,14,5,13,7
Indian Institute of Technology Roorkee,14,5,9,8
glaxosmithkline,14,4,24,15
Hamburg University of Technology,14,4,18,11
Karlsruhe Institute of Technology,14,4,18,10
Aristotle University of Thessaloniki,14,4,12,7
South China University of Technology,14,4,6,4
us environmental protection agency,14,3,9,6
National Cheng Kung University,14,3,8,6
University of Oxford,14,3,7,11
University of Miami,14,3,7,6
University of Limerick,14,3,5,5
lawrence berkeley national lab,14,3,5,5
Mathworks,14,2,6,4
NETL,14,2,5,10
school of chemistry  chemical engineering and biotechnology  nanyang technological university,14,2,3,6
university of maryland baltimore,14,1,2,4
merlyn emergence,14,1,2,1
university of ribeirão preto,14,1,2,1
suncat center for interface science and catalysis  department of chemical engineering  stanford university,14,1,1,4
century therapeutics,14,1,1,1
U.S. Food and Drug Administration,12,6,8,6
UC Irvine,12,5,14,8
University of Dayton,12,5,8,6
Texas A&M University-Kingsville,12,5,6,5
Universidad de Guanajuato,12,4,7,4
Florida Atlantic University,12,4,6,4
Korea Institute of Industrial Technology,12,3,13,8
boehringer ingelheim pharmaceuticals inc,12,3,8,6
Indian Institute of Science,12,3,7,6
The University of Melbourne,12,3,7,5
slb,12,3,7,4
AIChE,12,3,4,5
"California State Polytechnic University, Pomona",12,2,9,5
University of Mississippi Medical Center,12,2,9,4
Utah State University,12,2,7,5
university of san diego,12,2,6,6
Boise State University,12,2,6,5
UNIV OF ALABAMA BIRMINGHAM,12,2,4,8
Western Michigan University,12,1,2,3
faculty of new sciences and technologies  university of tehran,12,1,2,3
instituto superior técnico  universidade de lisboa,12,1,2,3
procegence,12,1,2,3
csu- long beasch and fresno city college,12,1,1,3
polykala technologies llc,12,1,1,2
indian institute of technology roorkee  uttarakhand  india,12,1,1,1
Colorado State University,10,5,13,10
hovione farmaciência,10,5,6,5
University of Cambridge,10,4,16,9
pfizer inc,10,4,16,9
Technical University of Denmark,10,4,15,7
Tohoku University,10,4,13,4
university of missouri-columbia,10,4,11,5
forschungszentrum jülich gmbh,10,4,10,5
takeda,10,4,9,5
u s  environmental protection agency,10,4,8,6
Universidad San Francisco de Quito,10,3,15,5
Aspen Technology Inc.,10,3,12,4
Nagoya University,10,3,10,5
KAUST,10,3,9,4
Korea Institute of Energy Technology,10,3,7,4
the lubrizol corporation,10,3,6,7
university of nebraska - lincoln,10,3,6,6
Hong Kong University of Science and Technology,10,3,6,4
soongsil university,10,3,5,4
chulalongkorn university,10,3,5,3
University of Liege,10,2,13,9
Duke University,10,2,8,5
research center pharmaceutical engineering gmbh,10,2,8,4
Genentech,10,2,6,8
Widener University,10,2,6,8
Texas A&M International University,10,2,5,3
Tennessee Tech University,10,2,4,4
DSM-Firmenich,10,2,3,3
the ohio state university wexner medical center,10,1,11,7
trinity college dublin,10,1,5,5
kfupm,10,1,4,8
South Dakota State University,10,1,4,3
IIT Hyderabad,10,1,2,4
sunthetics,10,1,2,4
mexican institute of petroleum,10,1,2,3
nanoparticle systems engineering laboratory,10,1,1,4
mission possible partnership,10,1,1,3
cleveland state university,8,4,15,9
lsre-lcm - faculty of engineering of university of porto,8,4,8,8
hope college,8,4,8,4
new mexico institute of mining and technology,8,4,7,4
polytechnic university of puerto rico,8,4,5,4
KU Leuven,8,3,13,8
Stellenbosch University,8,3,12,5
vrije universiteit brussel,8,3,11,4
instituto politécnico nacional,8,3,10,4
applied circular engineering and simulation group   universidad san francisco de quito usfq,8,3,9,5
texas aandm university at qatar,8,3,8,10
gti energy,8,3,8,6
Tecnológico de Monterrey,8,3,8,4
University of AR,8,3,6,4
University of Chemistry and Technology in Prague,8,3,6,3
granutools,8,3,4,6
hovione,8,3,4,4
Nanjing Normal University,8,3,3,3
Brookhaven National Laboratory,8,2,28,16
Corteva Agriscience,8,2,10,6
3M Company,8,2,8,4
University of New Haven,8,2,8,3
uc davis,8,2,7,5
vertex pharmaceuticals,8,2,7,4
takeda development center americas  inc,8,2,6,11
rochester institute of technology,8,2,6,6
Central Michigan University,8,2,6,5
famu-fsu college of engineering  florida state university,8,2,6,4
Nihon University,8,2,6,2
Southern Illinois University Edwardsville,8,2,6,2
center for interdisciplinary research and innovation of aristotle university of thessaloniki,8,2,5,5
University of Central Florida,8,2,5,4
The University of Utah,8,2,4,9
university of maryland baltimore county,8,2,4,4
Durban University of Technology South Africa,8,2,4,3
American University of the Middle East,8,2,4,2
Fuzhou University,8,2,4,2
universidad de los andes  carrera,8,2,4,2
Universiti Teknologi Malaysia (UTM),8,2,4,1
university of chemical technology and metallurgy,8,2,3,3
illinois state geological survey,8,2,3,2
instituto de investigaciones biomédicas  universidad nacional autónoma de méxico,8,2,2,3
united cleanup oak ridge llc,8,2,2,1
Boehringer Ingelheim,8,1,6,8
Universidad Michoacana de San Nicolás de Hidalgo,8,1,6,5
FEI,8,1,6,2
Universidad de las Americas Puebla,8,1,6,2
sartorius,8,1,5,4
Yeungnam University,8,1,4,2
university of chile,8,1,4,2
planta piloto de ingenieria quimica,8,1,3,2
worldwide research and development  pfizer healthcare india pvt ltd,8,1,2,4
department of chemical and petroleum engineering  university of kansas,8,1,2,3
reservoir engineering research institute,8,1,2,2
young professionals committee,8,1,1,4
Caltech Institute of Technology,8,1,1,3
amofor gmbh,8,1,1,3
harvard medical school brigham and women s hospital,8,1,1,3
epsrc future manufacturing research hub for continuous manufacturing and advanced crystallization,8,1,1,2
kitech,8,1,1,2
university of the witwatersrand  johannesburg,8,1,1,2
université catholique de louvain   place l  pasteur 1,8,1,1,2
Lakehead University,8,1,1,1
University of Bologna,6,3,18,7
Dow Chemical Company,6,3,15,8
university of tennessee  knoxville,6,3,11,12
takeda pharmaceuticals,6,3,10,3
Dow Inc.,6,3,9,4
city college of new york,6,3,8,9
Sanofi,6,3,8,5
exxonmobil technology and engineering company,6,3,7,5
New Mexico Tech,6,3,7,4
Technical University of Munich,6,3,7,4
University College Dublin,6,3,6,5
the cooper union for the advancement of science and art,6,3,6,3
university of texas at san antonio,6,3,5,4
Sabic,6,3,5,2
surface measurement systems,6,3,4,3
Villanova University,6,3,3,2
Aveva,6,3,3,1
universidad de los andes,6,2,13,4
suny college of environmental science and forestry,6,2,11,12
Hebei University of Science and Technology,6,2,11,5
Baylor University,6,2,10,4
University of Alabama in Huntsville,6,2,8,5
universidad nacional autónoma de méxico,6,2,8,3
The University of Southern Mississippi,6,2,8,2
posco holdings,6,2,8,2
Heriot-Watt University,6,2,7,4
IIT Kharagpur,6,2,7,3
syracuse university,6,2,7,3
Eaton Corporation,6,2,6,4
"University of California, Merced",6,2,6,3
Gilead Sciences,6,2,6,2
sapienza university of rome,6,2,6,2
The University of Oklahoma,6,2,5,8
Pohang University of Science and Technology,6,2,5,4
boston university,6,2,5,4
University of Maribor,6,2,5,3
northern arizona university,6,2,5,3
university of illinois urbana champaign,6,2,5,3
California State University-Bakersfield,6,2,5,2
Chang Gung University,6,2,5,2
exhalix  llc,6,2,5,2
institute of hydrodynamics of the cas,6,2,5,2
porton usa,6,2,5,2
waseda university,6,2,5,2
Hongik University,6,2,4,6
mork family department of chemical engineering and materials science  university of southern california,6,2,4,4
chemical engineering department  universidad michoacana de san nicolás de hidalgo,6,2,4,3
hovione farmaciência s a,6,2,4,3
Institution,6,2,4,2
University of Innsbruck,6,2,4,2
sartorius stedim north america inc,6,2,4,2
Air Products,6,2,3,4
artie mcferrin department of chemical engineering  texas aandm university,6,2,3,4
German Aerospace Center,6,2,3,3
Kangwon National University,6,2,3,2
Old Dominion University,6,2,2,4
3P Instruments,6,2,2,3
University of Pau,6,2,2,3
u s  dept  of energy,6,2,2,3
California State University Long Beach,6,2,2,2
Dartmouth College,6,2,2,2
Rutgers,6,2,2,2
tonkomo llc,6,2,2,2
Physical Sciences Inc.,6,1,11,1
Shenzhen University,6,1,10,2
Technion Israel Institute of Technology,6,1,9,7
renewable resources and enabling sciences center  national renewable energy laboratory,6,1,9,4
university of wisconsin   madison,6,1,7,2
energy and environmental research center university of north dakota,6,1,6,1
UCB Pharma S.A.,6,1,5,2
University of Canterbury,6,1,5,2
carbon america,6,1,5,2
bascat - unicat basf jointlab - tu berlin,6,1,5,1
city college of new york  cuny,6,1,4,4
shell international exploration and production  inc,6,1,4,4
department of chemical engineering  college of engineering  king khalid university  abha 61411  saudi arabia,6,1,4,3
Università degli Studi di Padova,6,1,4,2
chemical engineering department  faculty of engineering  cairo university,6,1,4,2
national energy technology lab,6,1,4,1
netherlands organisation for applied scientific research  tno,6,1,4,1
Kuwait University,6,1,3,2
Obafemi Awolowo University,6,1,3,2
University of Liverpool,6,1,3,2
industrial technology research institute,6,1,3,2
technische universiteit delft,6,1,3,2
Texas A&M University - Corpus Christi,6,1,3,1
Abu Dhabi University,6,1,2,3
pfizer healthcare india pvt ltd,6,1,2,3
postech,6,1,2,3
u s  army devcom chemical biological center,6,1,2,2
isgs,6,1,2,1
school for engineering of matter  transport  and energy  arizona state university,6,1,1,4
carbotech ac gmbh,6,1,1,3
material flow solutions  inc,6,1,1,3
rkgmixes llc,6,1,1,3
u s  army,6,1,1,3
vishwamitra research institute,6,1,1,3
BIPC,6,1,1,2
The Cyprus Institute,6,1,1,2
ahmedabad univeristy,6,1,1,2
alexandria university,6,1,1,2
eastman chemical co,6,1,1,2
hitachi energy germany ag,6,1,1,2
massachusetts institute of thechnology,6,1,1,2
simons foundation,6,1,1,2
volkswagen group of america,6,1,1,2
worley group,6,1,1,2
dr  vishwanath karad mit world peace university,4,2,10,3
Graz University of Technology,4,2,9,6
University of vermont,4,2,8,2
takeda pharmaceutical company limited,4,2,8,2
Tianjin University,4,2,7,8
Northumbria University,4,2,7,2
Politecnico di Milano,4,2,7,2
yonsei university,4,2,6,6
tsinghua university  p r china,4,2,5,5
Université de Sherbrooke,4,2,5,4
University of North Carolina at Chapel Hill,4,2,5,3
air force research laboratory,4,2,5,3
brewer science  inc,4,2,5,2
institute of zhejiang university-quzhou,4,2,5,2
key laboratory of coal gasification and energy chemical engineering of ministry of education  shanghai engineering research center of coal gasification  east china university of science and technology,4,2,4,5
centro de investigação de montanha   instituto politécnico de bragança  campus de santa apolónia  5300-253,4,2,4,4
department of chemical and biomolecular engineering  lehigh university,4,2,4,3
clariant corporation,4,2,4,2
the cooper union,4,2,4,2
tu graz,4,2,4,2
recibiopharm,4,2,4,1
Chiba Institute of Technology,4,2,3,3
ansys,4,2,3,3
suny esf,4,2,3,3
FDA,4,2,3,2
njit,4,2,3,2
the hong kong polytechnic university,4,2,3,2
university of nebraska lincoln,4,2,3,2
University of Oregon,4,2,2,3
University of Guelph,4,2,2,2
johnson screens  inc,4,2,2,2
National Science Foundation,4,2,2,1
kbc advanced technologies inc,4,2,2,1
saint louis university main campus - parks college of engineering  aviation and technology,4,2,2,1
university of iowa aiche student chapter,4,2,2,1
IFF,4,1,10,1
The University of Manchester,4,1,9,11
Louisiana Tech University,4,1,9,6
polish academy of sciences,4,1,9,3
Procter and Gamble,4,1,8,4
ulsan national institute of science and technology,4,1,7,3
University of Surrey,4,1,6,5
imperial college london  south kensington,4,1,6,4
Kyungpook National University,4,1,6,3
University of Nottingham,4,1,6,3
sintef industry,4,1,6,3
Uppsala University,4,1,6,2
Aalborg University,4,1,6,1
samsung electronics,4,1,6,1
state university of new york at buffalo,4,1,6,1
ventus therapeutics,4,1,6,1
University of Illinois,4,1,5,5
new york university tandon school of engineering,4,1,5,5
Siemens,4,1,5,4
University of the Witwatersrand,4,1,5,4
technical university of darmstadt,4,1,5,4
rti international,4,1,5,2
university at buffalo  state university of new york,4,1,5,2
University of Pretoria,4,1,5,1
dastur energy  inc,4,1,5,1
donald danforth plant science center,4,1,5,1
vaccine production program  nih niaid,4,1,5,1
Kyushu University,4,1,4,4
Merck,4,1,4,4
boehringer ingelheim pharmaceuticals  inc,4,1,4,3
pnnl,4,1,4,3
koch institute for integrative cancer research,4,1,4,2
usda forest products laboratory,4,1,4,2
jsol corporation,4,1,4,1
ocean college zhejiang university,4,1,4,1
university of tennessee-knoxville,4,1,3,4
Cape Breton University,4,1,3,2
Indian Institute of Technology (BHU) Varanasi,4,1,3,2
institute for basic science,4,1,3,2
National Institutes of Health,4,1,3,1
Tuskegee University,4,1,3,1
aramco americas,4,1,3,1
hiden isochema,4,1,3,1
hovione farmaciencia s a,4,1,3,1
king khalid university,4,1,3,1
ming chi university of technology,4,1,3,1
veranova,4,1,3,1
university of erlangen-nuremberg,4,1,2,4
m-star simulations,4,1,2,3
Montana State University-Northern,4,1,2,2
"The Chinese University of Hong Kong, Shenzhen",4,1,2,2
Tokyo University of Agriculture and Technology,4,1,2,2
Universidad del Atlántico,4,1,2,2
Universidade Federal de São Carlos,4,1,2,2
forest products laboratory,4,1,2,2
institut charles gerhardt montpellier  université de montpellier  cnrs  enscm 34293,4,1,2,2
precision combustion  inc,4,1,2,2
schrödinger  inc,4,1,2,2
univ of ar,4,1,2,2
Andrews University,4,1,2,1
Institute of Chemical Technology Mumbai,4,1,2,1
UIN sunan kalijaga yogyakarta,4,1,2,1
University College Cork,4,1,2,1
University of Texas Rio Grande Valley,4,1,2,1
carnegie institution for science,4,1,2,1
chemical and biological engineering  iowa state university,4,1,2,1
department of chemical engineering  massachusetts institute of technology,4,1,2,1
iit mumbai,4,1,2,1
indian   institute of science education and research  bhopal,4,1,2,1
innovation center - abu dhabi  siemens energy llc,4,1,2,1
kaneka corporation,4,1,2,1
schlumberger  genvia,4,1,2,1
sub-zero group  inc,4,1,2,1
tecnologico nacional de mexico campus aguascalientes,4,1,2,1
university college dublin  ireland,4,1,2,1
university of tennessee-oak ridge innovation institute,4,1,1,5
mstar cfd,4,1,1,4
TU Dortmund University,4,1,1,3
suny   buffalo,4,1,1,3
Refinity,4,1,1,2
UCTM,4,1,1,2
Universite Catholique de Louvain,4,1,1,2
University of Hawaiʻi at Mānoa,4,1,1,2
a star,4,1,1,2
aaas nsf,4,1,1,2
avnos  inc,4,1,1,2
columbia univeresity,4,1,1,2
doe netl,4,1,1,2
e2h2nano  llc,4,1,1,2
epixc,4,1,1,2
hkust,4,1,1,2
human-centered sensing laboratory  eth zurich,4,1,1,2
institution los alamos national laboratory,4,1,1,2
mic monitor  llc,4,1,1,2
shaoguan university,4,1,1,2
uconn,4,1,1,2
universiry college london,4,1,1,2
university of notredame southbend,4,1,1,2
yusuf hamied department of chemistry  university of cambridge,4,1,1,2
2  spx flow mixing solutions,4,1,1,1
6786963773,4,1,1,1
Arba Minch University,4,1,1,1
Arkansas State University,4,1,1,1
BMS,4,1,1,1
Ege University,4,1,1,1
FAU Erlangen-Nürnberg,4,1,1,1
Hoseo University,4,1,1,1
Jiangnan University,4,1,1,1
Lyten,4,1,1,1
SSL,4,1,1,1
Universidad Industrial de Santander,4,1,1,1
University of Engineering and Technology Lahore,4,1,1,1
Warsaw University of Technology,4,1,1,1
Zhejiang Gongshang University,4,1,1,1
asu,4,1,1,1
biosystem and agricultural engineering  university of kentucky,4,1,1,1
broad institute of mit and harvard,4,1,1,1
center of excellence for aerospace particulate emissions reduction research missouri sandt  65409,4,1,1,1
colombian petroleum institute   ecopetrol s a,4,1,1,1
crystallization design institute  molecular sciences research center  university of puerto rico,4,1,1,1
department of biochemistry  university of illinois at urbana-champaign,4,1,1,1
department of chemical and biomolecular engineering  university of california  irvine,4,1,1,1
division of energy and environment technology  kist school  university of science and technology,4,1,1,1
engineers india limited,4,1,1,1
evonik nutrition and care gmbh,4,1,1,1
ewha womens university,4,1,1,1
exactmer limited,4,1,1,1
federal university of agriculture,4,1,1,1
figure 8 environmental,4,1,1,1
florida agricultural and mechanical university,4,1,1,1
higher collages of technology,4,1,1,1
iit roorkee,4,1,1,1
iit-jammu,4,1,1,1
iitb,4,1,1,1
institute for protein design,4,1,1,1
institute for the development of energy for african sustainability,4,1,1,1
instituto de desarrollo tecnológico para la industria química  intec,4,1,1,1
interdisciplinary research center for membranes and water security  king fahd university of petroleum and minerals,4,1,1,1
international institute for nanotechnology,4,1,1,1
iso iec joint technical committee - quantum technologies,4,1,1,1
krict,4,1,1,1
laboratório associado para a sustentabilidade e tecnologia em regiões de montanha   instituto politécnico de bragança  campus de santa apolónia  5300-253,4,1,1,1
lakril technologies corporation,4,1,1,1
mid-atlantic technology  research and innovation center,4,1,1,1
national institute of standards and technology center for neutron research,4,1,1,1
national laboratory astana  nazarbayev university,4,1,1,1
noritake co  ltd,4,1,1,1
origin materials,4,1,1,1
osaka gas chemicals  co   ltd,4,1,1,1
oxy low carbon ventures,4,1,1,1
pando bioscience,4,1,1,1
retired,4,1,1,1
school of chemical and biomolecular engineering  georgia institute of technology,4,1,1,1
st josephs college of engineering,4,1,1,1
tamuq,4,1,1,1
terasaki institute,4,1,1,1
the university of queensland  australia,4,1,1,1
the university of trinidad and tobago o meara camp,4,1,1,1
ucsd  nanoengineering department,4,1,1,1
uofa,4,1,1,1
us army engineer research and development center,4,1,1,1
uw madison,4,1,1,1
zhejiang huakang pharmaceutical co   ltd,4,1,1,1
phosphorus wastewater treatment project,2,1,15,1
snapdragon chemistry inc,2,1,10,2
korea institute of science and technology  korea university,2,1,9,3
NASA Glenn Research Center,2,1,8,7
forge nano,2,1,8,5
University of Hawaii,2,1,8,3
canmetenergy,2,1,8,3
continuus pharmaceuticals,2,1,8,2
brimstone energy,2,1,8,1
strategic analysis  inc,2,1,8,1
hovione farmaciência sa,2,1,7,5
Eindhoven University of Technology,2,1,7,4
University of Cantabria,2,1,7,3
milliporesigma,2,1,7,3
Xi'an Jiaotong University,2,1,7,2
Kumamoto University,2,1,7,1
queensland university of technology,2,1,7,1
University of Patras,2,1,6,7
University of São Paulo,2,1,6,5
Stockholm University,2,1,6,4
University of Queensland,2,1,6,4
University of Science and Technology of China,2,1,6,3
u s  army engineer research and development center,2,1,6,3
Soka University of America,2,1,6,2
battelle memorial institute,2,1,6,1
sutro biopharma,2,1,6,1
worldwide research and development  pfizer inc,2,1,6,1
Washington & Jefferson College,2,1,5,6
Amgen,2,1,5,5
Paul Scherrer Institute,2,1,5,3
saudi aramco oil company,2,1,5,3
University of Copenhagen,2,1,5,2
clariant,2,1,5,2
oli systems inc,2,1,5,2
university of missouri - columbia,2,1,5,2
national institute of advanced industrial science and technology,2,1,5,1
plug power inc,2,1,5,1
universidad nacional de colombia   sede medellín  facultad de minas,2,1,5,1
universidad nacional de ingeniería,2,1,5,1
johns hopkins university school of medicine,2,1,4,7
North Carolina Agricultural & Technical State University,2,1,4,4
University of Leeds,2,1,4,4
tennessee technological university,2,1,4,4
Amirkabir University of Technology,2,1,4,2
International Flavors & Fragrances,2,1,4,2
Ruhr-University Bochum,2,1,4,2
SPX FLOW,2,1,4,2
The University of Texas at El Paso,2,1,4,2
University of Fribourg,2,1,4,2
rcpe gmbh,2,1,4,2
serán bioscience,2,1,4,2
uw-madison,2,1,4,2
DLR,2,1,4,1
Maynooth University,2,1,4,1
borsodchem ltd,2,1,4,1
corporate research and development  sabic,2,1,4,1
easyxafs,2,1,4,1
lbnl,2,1,4,1
mohammed vi polytechnic university,2,1,4,1
pontifical catholic university of rio grande do sul,2,1,4,1
prony resources new caledonia  usine du grand sud route de kwa neie  prony bp 218,2,1,4,1
