affil_norm,suggested_loc_key,score,geocoded_label
babol noshirvani university of technology,dalian university of technology,0.8333333333333334,Dalian University of Technology
babol noshirvani university of technology,poznan university of technology,0.8055555555555556,Poznan University of Technology
babol noshirvani university of technology,amirkabir university of technology,0.7733333333333333,Amirkabir University of Technology
babol noshirvani university of technology,warsaw university of technology,0.7777777777777778,Warsaw University of Technology
babol noshirvani university of technology,graz university of technology,0.7428571428571429,Graz University of Technology
badr university in cairo,baylor university,0.6829268292682927,Baylor University
badr university in cairo,the university of akron,0.6808510638297872,The University of Akron
badr university in cairo,university of calgary,0.6666666666666666,University of Calgary
badr university in cairo,andrews university,0.6666666666666666,Andrews University
badr university in cairo,university of maine,0.6046511627906976,University of Maine
barnard college,augsburg college,0.6451612903225806,Augsburg College
barnard college,lafayette college,0.625,Lafayette College
barnard college,dartmouth college,0.625,Dartmouth College
basf se  group research,chevron research,0.6153846153846154,Chevron Research
battelle memorial institute,paul scherrer institute,0.56,Paul Scherrer Institute
ben gurion university,nihon university,0.8108108108108109,Nihon University
ben gurion university,brown university,0.8108108108108109,Brown University
ben gurion university,auburn university,0.7894736842105263,Auburn University
ben gurion university,chang gung university,0.7619047619047619,Chang Gung University
ben gurion university,trine university,0.7567567567567568,Trine University
bentley university,liberty university,0.8333333333333334,Liberty University
bentley university,ghent university,0.8235294117647058,Ghent University
bentley university,ege university,0.8125,Ege University
bentley university,tulane university,0.6857142857142857,Tulane University
bentley university,widener university,0.7777777777777778,Widener University
bernal institute  university of limerick,university of limerick,0.7096774193548387,University of Limerick
bernal institute  university of limerick,soka university of america,0.6363636363636364,Soka University of America
bernal institute  university of limerick,aristotle university of thessaloniki,0.631578947368421,Aristotle University of Thessaloniki
bernal institute  university of limerick,american university of beirut,0.5797101449275363,American University of Beirut
bernal institute  university of limerick,the university of maine,0.5714285714285714,The University of Maine
bielefeld university,lakehead university,0.717948717948718,Lakehead University
bielefeld university,bucknell university,0.7692307692307693,Bucknell University
bielefeld university,ege university,0.7647058823529411,Ege University
bielefeld university,mcgill university,0.7567567567567568,McGill University
bielefeld university,lund university,0.7428571428571429,Lund University
biofine technology llc,aspen technology inc.,0.6511627906976745,Aspen Technology Inc.
biofine technology llc,freeman technology,0.65,Freeman Technology
biofine technology llc,em ai technology,0.631578947368421,EM AI Technology
biofine technology llc,shell technology center,0.6222222222222222,Shell Technology Center
biofine technology llc,harbin institute of technology,0.5769230769230769,Harbin Institute of Technology
biohaven pharmaceuticals,janssen pharmaceuticals,0.8085106382978723,Janssen pharmaceuticals
bionanonet,cic nanogune,0.6363636363636364,CIC nanoGUNE
boehringer ingelheim pharma gmbh and co  kg,boehringer ingelheim,0.6349206349206349,Boehringer Ingelheim
boehringer ingelheim pharma gmbh and co kg,boehringer ingelheim,0.6451612903225806,Boehringer Ingelheim
boehringer ingelheim pharmaceuticals  inc,boehringer ingelheim,0.6557377049180327,Boehringer Ingelheim
boehringer ingelheim pharmaceuticals inc,boehringer ingelheim,0.6666666666666666,Boehringer Ingelheim
boehringer ingelheim pharmaceuticals inc,janssen pharmaceuticals,0.5714285714285714,Janssen pharmaceuticals
boehringer-ingelheim pharm  inc,boehringer ingelheim,0.7450980392156863,Boehringer Ingelheim
boston university,hoseo university,0.8484848484848485,Hoseo University
boston university,brown university,0.8484848484848485,Brown University
boston university,ohio university,0.8125,Ohio University
boston university,western university,0.8,Western University
boston university,hampton university,0.8,Hampton University
bristol-myers squibb  inc,bristol myers squibb,0.8444444444444444,Bristol Myers Squibb
broad institute,the cyprus institute,0.6285714285714286,The Cyprus Institute
broad institute,institution,0.6153846153846154,Institution
broad institute of mit and harvard,srm institute of science and technology,0.6027397260273972,SRM Institute of Science and Technology
brookhaven laboratory,brookhaven national laboratory,0.8235294117647058,Brookhaven National Laboratory
brookhaven laboratory,oak ridge national laboratory,0.56,Oak Ridge National Laboratory
budapest university of technology and economics,warsaw university of technology,0.6923076923076923,Warsaw University of Technology
budapest university of technology and economics,dalian university of technology,0.6923076923076923,Dalian University of Technology
budapest university of technology and economics,clausthal university of technology,0.691358024691358,Clausthal University of Technology
budapest university of technology and economics,graz university of technology,0.6842105263157895,Graz University of Technology
budapest university of technology and economics,hamburg university of technology,0.6835443037974683,Hamburg University of Technology
butler university,tulane university,0.8235294117647058,Tulane University
butler university,baylor university,0.8235294117647058,Baylor University
butler university,auburn university,0.8235294117647058,Auburn University
butler university,duke university,0.8125,Duke University
butler university,western university,0.8,Western University
california baptist university,california state university long beach,0.7164179104477612,California State University Long Beach
california baptist university,florida atlantic university,0.7142857142857143,Florida Atlantic University
california baptist university,california state university-bakersfield,0.7058823529411765,California State University-Bakersfield
california baptist university,colorado state university,0.7037037037037037,Colorado State University
california baptist university,khalifa university,0.6808510638297872,Khalifa University
california inst of technology,florida institute of technology,0.8,Florida Institute of Technology
california inst of technology,georgia institute of technology,0.7666666666666667,Georgia Institute of Technology
california inst of technology,chiba institute of technology,0.7586206896551724,Chiba Institute of Technology
california inst of technology,harbin institute of technology,0.7457627118644068,Harbin Institute of Technology
california inst of technology,vellore institute of technology,0.7333333333333333,Vellore Institute of Technology
california institute of technology - pasadena  ca,indian institute of technology bhu varanasi,0.6956521739130435,Indian Institute of Technology (BHU) Varanasi
california institute of technology - pasadena  ca,indian institute of technology ropar,0.7294117647058823,Indian Institute of Technology Ropar
california institute of technology - pasadena  ca,indian institute of technology delhi,0.7294117647058823,Indian Institute of Technology Delhi
california institute of technology - pasadena  ca,florida institute of technology,0.725,Florida Institute of Technology
california institute of technology - pasadena  ca,indian institute of technology jammu,0.7058823529411765,Indian Institute of Technology Jammu
canmetenergy,jara-energy,0.6086956521739131,JARA-ENERGY
canmetenergy,feed energy,0.6086956521739131,Feed Energy
carbon america,braskem america,0.6206896551724138,Braskem America
carleton college,dartmouth college,0.7272727272727273,Dartmouth College
carleton college,lafayette college,0.6666666666666666,Lafayette College
carleton college,augsburg college,0.625,Augsburg College
carnegie institution for science,indian institute of science,0.711864406779661,Indian Institute of Science
carnegie institution for science,institute of science tokyo,0.6206896551724138,Institute of Science Tokyo
carnegie mellon univeristy,cornell university,0.7272727272727273,Cornell University
carnegie mellon univeristy,cape breton university,0.7083333333333334,Cape Breton University
carnegie mellon univeristy,mcgill university,0.6976744186046512,McGill University
carnegie mellon univeristy,chang gung university,0.6808510638297872,Chang Gung University
carnegie mellon univeristy,nihon university,0.6666666666666666,Nihon University
carnegie mellon university,cornell university,0.7727272727272727,Cornell University
carnegie mellon university,cape breton university,0.75,Cape Breton University
carnegie mellon university,mcgill university,0.7441860465116279,McGill University
carnegie mellon university,chang gung university,0.723404255319149,Chang Gung University
carnegie mellon university,nihon university,0.7142857142857143,Nihon University
catholic university of louvain,the university of maine,0.7547169811320755,The University of Maine
catholic university of louvain,the university of melbourne,0.7368421052631579,The University of Melbourne
catholic university of louvain,the university of utah,0.7307692307692307,The University of Utah
catholic university of louvain,the university of akron,0.7169811320754716,The University of Akron
catholic university of louvain,the university of kansas,0.7037037037037037,The University of Kansas
ccdc army research laboratory,army research lab,0.7391304347826086,Army Research Lab
ccny grove school of engineering,famu-fsu college of engineering,0.5714285714285714,FAMU-FSU College of Engineering
cedars-sinai medical center,university of mississippi medical center,0.6268656716417911,University of Mississippi Medical Center
center for bioenergy innovation  oak ridge national laboratory,oak ridge national laboratory,0.6373626373626373,Oak Ridge National Laboratory
central south university,georgia southern university,0.7843137254901961,Georgia Southern University
central south university,central michigan university,0.7843137254901961,Central Michigan University
central south university,kent state university,0.7555555555555555,Kent State University
central south university,earth university,0.75,EARTH University
central south university,southwest university,0.7272727272727273,Southwest University
chalmers university,clemson university,0.8108108108108109,Clemson University
chalmers university,lamar university,0.8,Lamar University
chalmers university,clarkson university,0.7894736842105263,Clarkson University
chalmers university,baylor university,0.7777777777777778,Baylor University
chalmers university,aarhus university,0.7222222222222222,Aarhus University
chapman university,hampton university,0.8333333333333334,Hampton University
chapman university,lamar university,0.8235294117647058,Lamar University
chapman university,inha university,0.7878787878787878,Inha University
chapman university,oakland university,0.7777777777777778,Oakland University
chapman university,khalifa university,0.7777777777777778,Khalifa University
charles university,clemson university,0.8333333333333334,Clemson University
charles university,andrews university,0.8333333333333334,Andrews University
charles university,naresuan university,0.8108108108108109,Naresuan University
charles university,clarkson university,0.8108108108108109,Clarkson University
charles university,aarhus university,0.8,Aarhus University
chemical engineering department  universidad michoacana de san nicolás de hidalgo,universidad michoacana de san nicolás de hidalgo,0.7441860465116279,Universidad Michoacana de San Nicolás de Hidalgo
chevron technical center,shell technology center,0.6808510638297872,Shell Technology Center
chonnam national university,yokohama national university,0.8363636363636363,Yokohama National University
chonnam national university,hankyong national university,0.8363636363636363,Hankyong National University
chonnam national university,kongju national university,0.8301886792452831,Kongju National University
chonnam national university,pukyong national university,0.8148148148148148,Pukyong National University
chonnam national university,kangwon national university,0.8148148148148148,Kangwon National University
chung-ang university,chang gung university,0.8292682926829268,Chang Gung University
chung-ang university,tunghai university,0.7894736842105263,Tunghai University
chung-ang university,chulalongkorn university,0.7727272727272727,chulalongkorn university
chung-ang university,zhejiang university,0.7692307692307693,Zhejiang university
chung-ang university,yeungnam university,0.7692307692307693,Yeungnam University
ciatec,imec,0.6,imec
city college of new york,university college cork,0.6382978723404256,University College Cork
city of santa monica,university of salamanca,0.5581395348837209,University of Salamanca
city of santa monica,university of pannonia,0.6190476190476191,University of Pannonia
city of santa monica,university of cantabria,0.6046511627906976,University of Cantabria
city university of hong kong,university of wollongong,0.7692307692307693,University of Wollongong
city university of hong kong,the university of tokyo,0.7450980392156863,The University of Tokyo
city university of hong kong,university of houston,0.7346938775510204,University of Houston
city university of hong kong,university of washington,0.6538461538461539,University of Washington
city university of hong kong,the university of akron,0.7058823529411765,The University of Akron
clariant corporation,eaton corporation,0.7567567567567568,Eaton Corporation
clariant corporation,basf corporation,0.7222222222222222,BASF Corporation
clariant corporation,evonik corporation,0.6842105263157895,Evonik Corporation
clariant corporation,callaghan innovation,0.6,Callaghan Innovation
clark atlanta university,clarkson university,0.7906976744186046,Clarkson University
clark atlanta university,florida atlantic university,0.7843137254901961,Florida Atlantic University
clark atlanta university,oakland university,0.7619047619047619,Oakland University
clark atlanta university,arkansas state university,0.6938775510204082,Arkansas State University
clark atlanta university,yantai university,0.7317073170731707,Yantai University
cleveland state university,colorado state university,0.8235294117647058,Colorado State University
cleveland state university,kent state university,0.8085106382978723,Kent State University
cleveland state university,wayne state university,0.75,Wayne State University
cleveland state university,michigan state university,0.7843137254901961,Michigan State University
cleveland state university,illinois state university,0.7843137254901961,Illinois State University
climeworks,mathworks,0.631578947368421,Mathworks
colorado school of mines,wake forest school of medicine,0.6296296296296297,Wake Forest School of Medicine
columbia univeresity,northumbria university,0.8095238095238095,Northumbria University
columbia univeresity,miami university,0.7777777777777778,Miami University
columbia univeresity,stockholm university,0.75,Stockholm University
columbia univeresity,ohio university,0.7428571428571429,Ohio University
columbia univeresity,lund university,0.7428571428571429,Lund University
complutense university of madrid,the university of maine,0.7272727272727273,The University of Maine
complutense university of madrid,the university of akron,0.6909090909090909,The University of Akron
complutense university of madrid,university of maribor,0.6792452830188679,University of Maribor
complutense university of madrid,university of maine,0.6666666666666666,University of Maine
complutense university of madrid,university of ar,0.6666666666666666,University of AR
continuus pharmaceuticals,janssen pharmaceuticals,0.75,Janssen pharmaceuticals
corning gmbh,evon gmbh,0.6666666666666666,evon GmbH
corning incorporated,evonik corporation,0.631578947368421,Evonik Corporation
covai corporation,evonik corporation,0.8,Evonik Corporation
covai corporation,basf corporation,0.7878787878787878,BASF Corporation
covai corporation,eaton corporation,0.7647058823529411,Eaton Corporation
crysalis biosciences  inc,physical sciences inc.,0.723404255319149,Physical Sciences Inc.
csir - indian institute of chemical technology,institute of chemical technology mumbai,0.7529411764705882,Institute of Chemical Technology Mumbai
csir - indian institute of chemical technology,indian institute of technology ropar,0.7317073170731707,Indian Institute of Technology Ropar
csir - indian institute of chemical technology,indian institute of technology jammu,0.7317073170731707,Indian Institute of Technology Jammu
csir - indian institute of chemical technology,indian institute of technology delhi,0.7317073170731707,Indian Institute of Technology Delhi
csir - indian institute of chemical technology,srm institute of science and technology,0.7294117647058823,SRM Institute of Science and Technology
csir-indian institute of petroleum,indian institute of science,0.7213114754098361,Indian Institute of Science
csir-indian institute of petroleum,china university of petroleum,0.5396825396825397,China University of Petroleum
csir-indian institute of petroleum,indian institute of technology jammu,0.6857142857142857,Indian Institute of Technology Jammu
csir-indian institute of petroleum,indian institute of technology delhi,0.6857142857142857,Indian Institute of Technology Delhi
csir-indian institute of petroleum,indian institute of technology bombay,0.676056338028169,Indian Institute of Technology Bombay
cuny advanced science research center,ibm almaden research center,0.65625,IBM Almaden Research Center
cuny advanced science research center,nasa glenn research center,0.6349206349206349,NASA Glenn Research Center
curtin university,trine university,0.8484848484848485,Trine University
curtin university,auburn university,0.8235294117647058,Auburn University
curtin university,lund university,0.8125,Lund University
curtin university,inha university,0.8125,Inha University
curtin university,tianjin university,0.8,Tianjin University
curtin university  malaysis,the university of maine,0.68,The University of Maine
curtin university  malaysis,university of calgary,0.6666666666666666,University of Calgary
curtin university  malaysis,the university of kansas,0.6666666666666666,The University of Kansas
curtin university  malaysis,university of omaha,0.6521739130434783,University of Omaha
curtin university  malaysis,university of maine,0.6521739130434783,University of Maine
dell medical school  the university of texas at austin,university of texas at austin,0.6987951807228916,University of Texas at Austin
dell medical school  the university of texas at austin,the university of texas at el paso,0.6590909090909091,The University of Texas at El Paso
dell medical school  the university of texas at austin,the university of texas at tyler,0.6511627906976745,The University of Texas at Tyler
department of biological engineering,u.s. department of energy,0.6229508196721312,U.S. Department of Energy
department of biology,u.s. department of energy,0.6956521739130435,U.S. Department of Energy
department of biology and entomology  pennsylvania state university,pennsylvania state university,0.6041666666666666,Pennsylvania State University
department of chemical engineering  massachusetts institute of technology,technion israel institute of technology,0.5178571428571429,Technion Israel Institute of Technology
department of chemical engineering  university of california-santa barbara,university of california santa barbara,0.6607142857142857,University of California Santa Barbara
department of chemical engineering  university of michigan,technical university of munich,0.5909090909090909,Technical University of Munich
department of energy netl,u.s. department of energy,0.8,U.S. Department of Energy
department of mechanical engineering  university of michigan,technical university of munich,0.6222222222222222,Technical University of Munich
division of energy and environment technology  kist school  university of science and technology,east china university of science and technology,0.6153846153846154,East China University of Science and Technology
doe great lakes bioenergy research center,nasa glenn research center,0.6268656716417911,NASA Glenn Research Center
doe netl,netl,0.6666666666666666,NETL
drexel university,ege university,0.8387096774193549,Ege University
drexel university,duke university,0.8125,Duke University
drexel university,widener university,0.7428571428571429,Widener University
drexel university,cornell university,0.8,Cornell University
drexel university,andrews university,0.8,Andrews University
drury university,duke university,0.8387096774193549,Duke University
drury university,purdue university,0.7878787878787878,Purdue University
drury university,auburn university,0.7878787878787878,Auburn University
drury university,aarhus university,0.7878787878787878,Aarhus University
drury university,lund university,0.7741935483870968,Lund University
east carolina university,west virginia university,0.7916666666666666,West Virginia University
east carolina university,north carolina state university,0.7636363636363637,North Carolina State University
east carolina university,western university,0.7619047619047619,Western University
east carolina university,trine university,0.75,Trine University
east carolina university,qatar university,0.75,Qatar University
eastman chemical co,dow chemical company,0.6153846153846154,Dow Chemical Company
eastman chemical co,the dow chemical company,0.6046511627906976,The Dow Chemical Company
embry-riddle aeronautical university,florida atlantic university,0.6349206349206349,Florida Atlantic University
embry-riddle aeronautical university,memorial university,0.6181818181818182,Memorial University
embry-riddle aeronautical university,texas aandm international university,0.5555555555555556,Texas A&M International University
embry-riddle aeronautical university,yantai university,0.49056603773584906,Yantai University
embry-riddle aeronautical university,pukyong national university,0.6031746031746031,Pukyong National University
emmanuel college  university of cambridge,university of cambridge,0.71875,University of Cambridge
energy and environmental research center,ibm almaden research center,0.5373134328358209,IBM Almaden Research Center
energy and environmental research center,state university of new york environmental science,0.4888888888888889,State University of New York Environmental Science
engineering science,gilead sciences,0.6470588235294118,Gilead Sciences
eskisehir osmangazi university,hongik university,0.6808510638297872,Hongik University
eskisehir osmangazi university,western university,0.6666666666666666,Western University
eskisehir osmangazi university,shiv nadar university,0.5882352941176471,Shiv Nadar University
eskisehir osmangazi university,indiana university,0.6666666666666666,Indiana University
eskisehir osmangazi university,boise state university,0.6538461538461539,Boise State University
espci paris  cnrs  psl university,clarkson university,0.6153846153846154,Clarkson University
espci paris  cnrs  psl university,széchenyi istván university,0.5666666666666667,Széchenyi István University
etech ethanol engineering and technology,university of engineering and technology lahore,0.7126436781609196,University of Engineering and Technology Lahore
etech ethanol engineering and technology,clausthal university of technology,0.6216216216216216,Clausthal University of Technology
eth zurich and university of zurich,technical university of munich,0.7384615384615385,Technical University of Munich
eth zurich and university of zurich,american university of beirut,0.6875,American University of Beirut
eth zurich and university of zurich,the university of utah,0.6666666666666666,The University of Utah
eth zurich and university of zurich,south china university of technology,0.647887323943662,South China University of Technology
eth zurich and university of zurich,soka university of america,0.6229508196721312,Soka University of America
ewha womans university,hampton university,0.75,Hampton University
ewha womans university,rowan university,0.7368421052631579,Rowan University
ewha womans university,lamar university,0.7368421052631579,Lamar University
ewha womans university,hoseo university,0.6842105263157895,Hoseo University
ewha womans university,texas aandm university,0.7272727272727273,Texas A&M University
ewha womens university,queens university,0.7692307692307693,Queen's University
ewha womens university,hampton university,0.75,Hampton University
ewha womens university,hoseo university,0.6842105263157895,Hoseo University
ewha womens university,ghent university,0.7368421052631579,Ghent University
ewha womens university,rwth aachen university,0.7272727272727273,RWTH Aachen University
exxonmobil chemical company,dow chemical company,0.7659574468085106,Dow Chemical Company
exxonmobil chemical company,the dow chemical company,0.7450980392156863,The Dow Chemical Company
exxonmobil technology and engineering,shell technology center,0.6,Shell Technology Center
facultad de ingeniería química  universidad nacional del litoral,"faculdade de engenharia, universidade do porto",0.6181818181818182,"Faculdade de Engenharia, Universidade do Porto"
famu-fsu college of engineering  florida state university,famu-fsu college of engineering,0.7045454545454546,FAMU-FSU College of Engineering
federal university of agriculture,federal university of santa catarina,0.7246376811594203,Federal University of Santa Catarina
federal university of agriculture,university of tartu,0.6923076923076923,University of Tartu
federal university of agriculture,the university of maine,0.6785714285714286,The University of Maine
federal university of agriculture,soka university of america,0.6779661016949152,Soka University of America
federal university of agriculture,university of warwick,0.6666666666666666,University of Warwick
federal university of bahia,federal university of santa catarina,0.7936507936507936,Federal University of Santa Catarina
federal university of bahia,university of pavia,0.7391304347826086,University of Pavia
federal university of bahia,university of omaha,0.7391304347826086,University of Omaha
federal university of bahia,the university of utah,0.7346938775510204,The University of Utah
federal university of bahia,the university of maine,0.72,The University of Maine
federal university of campina grande,federal university of santa catarina,0.75,Federal University of Santa Catarina
federal university of campina grande,university of california san diego,0.6857142857142857,University of California San Diego
federal university of campina grande,university of cantabria,0.6101694915254238,University of Cantabria
federal university of campina grande,university of cambridge,0.6779661016949152,University of Cambridge
federal university of campina grande,the university of maine,0.6779661016949152,The University of Maine
florida aandm university-florida state university,louisiana state university,0.6133333333333333,Louisiana State University
florida aandm university-florida state university,north carolina aandt state university,0.627906976744186,North Carolina A&T State University
florida aandm university-florida state university,colorado state university,0.5945945945945946,Colorado State University
florida aandm university-florida state university college of engineering,famu-fsu college of engineering,0.6019417475728155,FAMU-FSU College of Engineering
florida agricultural and mechanical university,north carolina agricultural and technical state university,0.7884615384615384,North Carolina Agricultural & Technical State University
florida agricultural and mechanical university,florida atlantic university,0.6027397260273972,Florida Atlantic University
florida agricultural and mechanical university,australian national university,0.631578947368421,Australian National University
florida agricultural and mechanical university,michigan technological university,0.6075949367088608,Michigan Technological University
forest products laboratory,pacific northwest national laboratory,0.6031746031746031,Pacific Northwest National Laboratory
fortum waste solutions oy,synt solutions,0.5641025641025641,Synt Solutions
fractionation research inc,national research council cnr,0.6545454545454545,National Research Council (CNR)
friedrich schiller university,georgia southern university,0.6428571428571429,Georgia Southern University
friedrich schiller university,rwth aachen university,0.5882352941176471,RWTH Aachen University
friedrich schiller university,mcgill university,0.6521739130434783,McGill University
friedrich schiller university,wichita state university,0.6415094339622641,Wichita State University
friedrich schiller university,manchester university,0.64,Manchester University
general motors corporation,eaton corporation,0.7441860465116279,Eaton Corporation
general motors corporation,basf corporation,0.6666666666666666,BASF Corporation
general motors corporation,evonik corporation,0.6363636363636364,Evonik Corporation
georgetown university,rowan university,0.8108108108108109,Rowan University
georgetown university,brown university,0.8108108108108109,Brown University
georgetown university,cape breton university,0.7906976744186046,Cape Breton University
georgetown university,princeton university,0.7804878048780488,Princeton University
georgetown university,korea university,0.7567567567567568,Korea University
georgia institute of technology and emory university,georgia institute of technology,0.7469879518072289,Georgia Institute of Technology
georgia institute of technology and emory university,indian institute of technology jammu,0.6818181818181818,Indian Institute of Technology Jammu
georgia institute of technology and emory university,indian institute of technology delhi,0.6818181818181818,Indian Institute of Technology Delhi
georgia institute of technology and emory university,florida institute of technology,0.6746987951807228,Florida Institute of Technology
georgia institute of technology and emory university,indian institute of technology roorkee,0.6666666666666666,Indian Institute of Technology Roorkee
georgia institute of technology college of engineering,georgia institute of technology,0.7294117647058823,Georgia Institute of Technology
georgia institute of technology college of engineering,indian institute of technology roorkee,0.6739130434782609,Indian Institute of Technology Roorkee
georgia institute of technology college of engineering,florida institute of technology,0.6588235294117647,Florida Institute of Technology
georgia institute of technology college of engineering,indian institute of technology delhi,0.6444444444444445,Indian Institute of Technology Delhi
georgia institute of technology college of engineering,vellore institute of technology,0.6352941176470588,Vellore Institute of Technology
georgia tech and emory university,georgia southern university,0.7333333333333333,Georgia Southern University
georgia tech and emory university,texas tech university,0.6666666666666666,Texas Tech University
georgia tech and emory university,louisiana tech university,0.6551724137931034,Louisiana Tech University
georgia tech and emory university,texas aandm university,0.6545454545454545,Texas A&M University
georgia tech and emory university,florida atlantic university,0.6333333333333333,Florida Atlantic University
georgia tech university,georgia southern university,0.84,Georgia Southern University
georgia tech university,texas tech university,0.8181818181818182,Texas Tech University
georgia tech university,louisiana tech university,0.7916666666666666,Louisiana Tech University
georgia tech university,earth university,0.7692307692307693,EARTH University
georgia tech university,memorial university,0.7619047619047619,Memorial University
gharda institute of technology lavel,harbin institute of technology,0.8181818181818182,Harbin Institute of Technology
gharda institute of technology lavel,georgia institute of technology,0.8059701492537313,Georgia Institute of Technology
gharda institute of technology lavel,florida institute of technology,0.8059701492537313,Florida Institute of Technology
gharda institute of technology lavel,indian institute of technology delhi,0.7777777777777778,Indian Institute of Technology Delhi
gharda institute of technology lavel,chiba institute of technology,0.8,Chiba Institute of Technology
giv group,inga group,0.7368421052631579,Inga Group
greenpack technologies,freeman technology,0.7,Freeman Technology
greenpack technologies,em ai technology,0.631578947368421,EM AI Technology
greenpack technologies,aspen technology inc.,0.6046511627906976,Aspen Technology Inc.
gsk medicines research centre,nasa glenn research center,0.6545454545454545,NASA Glenn Research Center
gsk medicines research centre,ibm almaden research center,0.6785714285714286,IBM Almaden Research Center
gsk randd,edf randd,0.6666666666666666,EDF R&D
gti energy,feed energy,0.6666666666666666,Feed Energy
guangzhou institute of energy conversion,korea institute of energy technology,0.6578947368421053,Korea Institute of Energy Technology
guangzhou institute of energy conversion,indian institute of technology ropar,0.6052631578947368,Indian Institute of Technology Ropar
guangzhou institute of energy conversion,indian institute of technology delhi,0.6052631578947368,Indian Institute of Technology Delhi
guangzhou institute of energy conversion,indian institute of technology bhu varanasi,0.5783132530120482,Indian Institute of Technology (BHU) Varanasi
guild associates,gilead sciences,0.6451612903225806,Gilead Sciences
