mapped,count,label,latitude,longitude,top_authors
yale university,60,yale university,,,Heather LeClerc; Amir Haji-Akbari; Jung-Shen Benny Tai; Amir Pahlavan; Yuan Yao
oak ridge national laboratory,60,Oak Ridge National Laboratory,35.9301332,-84.3119307,Arvind Ganesan; Nicholas Gregorich; Ikenna Okeke; Victor Sharma; Kristian Myhre
university of north dakota,60,University of North Dakota,47.9265412,-97.0721209,Glavic Tikeri; Arash Tayyebi; Nadhem Ismail; Musabbir Jahan Talukder; Ban Al-Tayyem
biomade,58,biomade,,,Penny Norquist
rowan university,58,Rowan University,39.7103526,-75.1193267,Barnabas Gao; Mitchell Paolello; Victoria Collinsworth; Swapana Jerpoth; Kirti Yenkie
"university of california, riverside",58,"University of California, Riverside",33.9642576,-117.3398097,Monica Iepure; Runtong Pan; Fudong Liu; Jianzhong Wu; Prince David Okoro
indian institute of technology jammu,58,Indian Institute of Technology Jammu,32.8022368,74.8913825,Gargi Das; Sourav Halder; Abdul Majid; Neeraj Singh; Snigdha Senapati
korea advanced institute of science and technology,58,Korea Advanced Institute of Science and Technology,36.36678495,127.35252315,Jeongwoo Lee; Hyunah Ahn; Hongju Lee; Huiseong Yun; Hyewon Park
colorado school of mines,56,colorado school of mines,,,Nolan Kelley; Jair Fajardo-Rojas; Tsung Wei Liu; Colin Wolden; Diego Gomez Gualdron
university of tennessee,56,University of Tennessee,35.9515982,-83.93088095,Mahshid Mokhtarnejad; Bamin Khomami; Rahul Bhosale; Elyar Tourani; Mark Dadmun
oregon state university,56,Oregon State University,44.5630559,-123.2839234,Qiu Jin; Truc Phung; Lucas Ellis; Zhenxing Feng; Qia Ke
orbillion bio  inc,56,orbillion bio  inc,,,Patricia Bubner
oklahoma state university,56,Oklahoma State University,36.1313112,-97.0890259,Marimuthu Andiappan; Ashutosh Kumar Verma; Berk Uysal; Omio Rani Das; Masrur Ahmed
hax,56,HAX,35.7461408,-95.4110305,Susan Schofer
university of rochester,56,University of Rochester,43.11182133333333,-77.64236646666667,Zachary Oliver; Yasemin Basdogan; Astrid Müller; Sai Varun Aduru; David G. Foster
the better meat co,56,the better meat co,,,Paul Shapiro
twelve,56,Twelve,-33.9808333,18.3852778,Kendra Kuhl
tulane university,56,Tulane University,29.9412195,-90.1201009,Avery Hill; Collette Riviere; Sarah Stratton; Mitchell Wheeler; Amanda Foote
qatar university,54,Qatar University,25.3719714,51.4879579,Anand Kumar; Seckin Karagoz; Abdelbaki Benamor; Methene Briones Cutad; Mostafa Sliem
dalian university of technology,54,Dalian University of Technology,38.8812564,121.52016,Shrinjay Sharma; Artur M. Schweidtmann; J Ruud Van Ommen; Yuchao Niu; Yachao Dong
the dow chemical company,54,The Dow Chemical Company,40.1633941,-75.4651946,Nathan Wilmot; Steven G. Arturo; Beata Kilos; Lizbeth Rostro; Daniel Miller
university of toronto,54,University of Toronto,43.663462,-79.3977597,William Broomhead; Abdelaziz Gouda; Goutham Rangarajan; Mehdi Salakhi; Rohit Pal
national energy technology laboratory,52,national energy technology laboratory,,,Chad Able; Colton Kohnke; Divakar Reddy Aireddy; Wei Shi; Maojian Wang
"merck and co., inc.",52,"Merck & Co., Inc.",40.21103505,-75.3003919,Matthew Flamm; Megan McCarthy; Erin Kotzbauer; Daniel Gendy; Ziwan Xu
drexel university,52,drexel university,,,Moses Abraham Bokinala; Rayan Alaufey; Jesse L. Starger; Biplab Sarkar; Niloofar Goodarzi
lehigh university,52,Lehigh University,40.6068028,-75.3782488,Oluwasanmi Adeodu; Jasreen Kaur; Myeongyeon Lee; James Gilchrist; Elsa Reichmanis
university at buffalo,52,University at Buffalo,43.0019863,-78.7859649,Sagnik Das; Jonathan Boualavong; Patatri Chakraborty; Oluwatoyin Campbell; Saman Emami Gerami
university of nebraska-lincoln,50,university of nebraska-lincoln,,,Sarang Ismail; Sahand Serajian; Payal Chaudhary; Niaz Chowdhury; Nabia Shahreen
clemson university,50,Clemson University,34.6686915,-82.8374348,Ewa Chukwu; Zehua Jin; Braulio Ortega Quesada; Jack Schmidt; Jessica Larsen
indian institute of technology delhi,48,Indian Institute of Technology Delhi,28.526577,77.2008821,Damaraju Phaneswararao; Divesh Bhatia; Raghavan Ranganathan; Isha Atrey; Dwijraj Mhatre
"university of california, irvine",48,"University of California, Irvine",33.653261171428575,-117.83812945714286,Elizabeth Lee; Ben Ko; Erdem Sasmaz; Ali Mohraz; Zoey Ferman
university of california davis,48,University of California Davis,38.5337904,-121.7907544,Siddharth Sonti; Aatam Gajjar; Parth Bandivadekar; Loren dela Rosa; Nael El-Farra
stevens institute of technology,46,stevens institute of technology,,,Ayodeji Omoniyi; Shuqiao Wang; Priscilla Manteaw; Alyssa Hensley; Jacob Gissinger
kansas state university,46,Kansas State University,39.20883,-96.5884512,Amirsalar Bagheri; Moises Gutierrez; Amirmohammad Ebrahimi; Thiago Oliveira Cabral; Joshua Ighalo
university of iowa,46,University of Iowa,41.649707500000005,-91.56013935,Chanjot Kaur .; Jun Wang; Rebecca Walters; Christopher Vidmar; Suboohi Shervani
lamar university,42,Lamar University,30.0388946,-94.0758929,Qiang Xu; Helen Lou; S M Farhad; Sk. Moumita Manjur; James Henry
stony brook university,42,Stony Brook University,40.9090809,-73.1205518,Shuting Xiang; Amol Pophali; Zhaoyi Xi; Surita Bhatia; Nav Nidhi Rajput
university of massachusetts lowell,42,University of Massachusetts Lowell,42.6519097,-71.3173628,Daniel Lachos Perez; Dugah Arslan; Gulden Camci-Unal; Mihriye Doga Tekbas; Yuting Xu
university of tulsa,42,University of Tulsa,36.1523306,-95.9459602,Abdulaziz Alhejaili; Chan Hyun Lee; Jae Hyeon Park; Hyeon Uk Kim; Donovan Daubert
rutgers  the state university of new jersey,42,rutgers  the state university of new jersey,,,Jakub Konkol; Mingzhi Zhao; Ravendra Singh; Alexander Neimark; George Tsilomelekis
korea university,42,Korea University,36.6108894,127.2934174,Sanha Park; Sejin Kim; Haeli Lee; DONG-Joon Lee; Seungwon Lee
nanyang technological university,40,Nanyang Technological University,1.3484104,103.6829332,Chuhong Lin; Dat-Nguyen Vo; Minghao Han; Jie Li; Qianhong She
michigan technological university,40,Michigan Technological University,47.1099114,-88.5511513,David Shonnard; Grace Dykstra; Seth Kriz; Molly A. Skinner; Robert Handler
bucknell university,40,Bucknell University,40.9515356,-76.8879603,Kenneth Mineart; Katsuyuki Wakabayashi; Sheriff Anofi; Sharareh Rezaei; Ryan Koes
eli lilly and company,40,Eli Lilly & Company,39.7576131,-86.1521511,Kanishka Ghosh; Sydney Butikofer; Jingyao Wang; Shekhar Viswanath; Saurin Hiren Rawal
los alamos national laboratory,38,Los Alamos National Laboratory,35.8190003,-106.2656274,Saif R. Kazi; Jingyao Li; Manjeet Chhetri; Xiaokun Yang; Yufei Wang
gsk,38,GSK,46.2857292,-114.1470748,Benjamin Hawkins; Daniel A. Green; Zahra Salahshoor; David Goundie; Brian Thatcher
university of south florida,38,University of South Florida,28.06203355,-82.41778115,Pierre Kawak; Ran Liu; Ramesh S. Ayyala; John Kuhn; Ryan Toomey
brown university,36,Brown University,41.82287165,-71.4075955,Caroline Rocchio; Bjarne Kreitz; Kirk Badger; Eduardo Guzman; Siddha Sharma
netl support contractor,36,netl support contractor,,,Sarah Leptinsky; Viet Hung Pham; Khaled Baamran; Muhammad Aamir Bashir; Yuan Gao
idaho national laboratory,36,Idaho National Laboratory,43.5208319,-112.0490689,Yidong Xia; Wenjuan Bian; Anne Gaffney; Nepu Saha; Maria Del Rocio Rodriguez Laguna
university of southern california,36,University of Southern California,34.0218689,-118.2858579,Seongbin Jo; Musa Najimu; Sairaj Patil; Kandis Leslie Gilliard-Abdulaziz; Brandon Pizarro Carbajal
dow,36,Dow,35.504124,-119.1726056,David Parrillo; David Camp; Zachary Kean; Daniel Hickman; Stacey Saba
abbvie inc,34,abbvie inc,,,Shailendra Bordawekar; Kartik Kamat; Akshay Korde; Sherwin Shang; Kyu Yoon
university of waterloo,34,University of Waterloo,43.4701994,-80.5452429,David Simakov; Luis Ricardez-Sandoval; Simone Reynoso-Donzelli; Joshua Pulsipher; Jinxuan Zhang
the university of kansas,34,The University of Kansas,39.0565182,-94.6092885,Charles Ponge; Diego Trevisan Melfi; Ana Colaco Morais; James Sturgill; Kaden Hubler
south dakota school of mines and technology,34,south dakota school of mines and technology,,,Kazi Khoda; Bharathkiran Maddipudi; Laura A.E. Brunmaier; Joseph Hilsendeger; Khang Huynh
michigan state university,34,Michigan State University,42.7023794,-84.4803869,Ryan Splichal; Robert Ferrier; Kevin Chen; Daipayan Sarkar; Ryan Stearns
king abdullah university of science and technology,34,king abdullah university of science and technology,,,Lakshmeesha Upadhyaya; Andres Felipe Cardenas; Mehzabeen Mannan; Ricardo Pinto de Lima; Minzhuo Huang
lawrence livermore national laboratory,32,lawrence livermore national laboratory,,,Shyam Deo; Alvina Aui; Hyuna Kwon; Nicholas Cross; Fei Zhou
university of new hampshire,32,University of New Hampshire,43.1350987,-70.9462079,Lev Levintov; Jeffrey Halpern; Seth Drahusz; Haley Royce; Linqing Li
virginia commonwealth university,32,Virginia Commonwealth University,37.5461246,-77.4540609,Mohammad Alam; Daniel Gregory; Mo Jiang; Kimberly Penzer; Charles McGill
korean institute science and technology,32,Korean Institute Science and Technology,49.2587784,7.0492746,Yong Chae Jung; Jong Hyeak Choe; Hwajun Lee; Dong Wook Kwon; Wonsuk Chung
universidad nacional de colombia,32,Universidad Nacional de Colombia,4.62007255,-74.07507125000001,Oscar Monrroy; Natalia Godoy Silva; Carlos A. Martinez Riascos; Mario Andrés Noriega; Sergio Rojas Prieto
inha university,30,Inha University,37.449443,126.6534446,Byeongseok Kim; Jinsung SEO; Eun Seong Yoo; Hyeonsuk Yoo; Kyung Hoon Min
university of illinois at urbana champaign,30,university of illinois at urbana champaign,,,Kai-Yu Huang; Nayeong Kim; Rajarshi Samajdar; Shengzhe Ding; Nicholas Jackson
friedrich-alexander-universität erlangen-nürnberg,30,Friedrich-Alexander-Universität Erlangen-Nürnberg,49.4583219,11.08546,Wolfgang Peukert; Michael Engel; Janne Reisch; Leon Kick; Marvin Wittek
lafayette college,30,Lafayette College,40.6986835,-75.209246,Michael Senra; Jodi Graf; Iain Colquhoun; Joanna Kuan; Maia Merriman
rwth aachen university,30,RWTH Aachen University,50.783707975,6.104963125,Eike Cramer; J. Raphael Seidenberg; Chrysanthi Papadimitriou; Jan G. Rittig; Katharina Maria Ebeling
rutgers university,30,rutgers university,,,Carlin Leung; Arjun Singh; Gregory Dignon; Vailankanni Rodrigues; Richard Remsing
university of maryland-college park,30,University of Maryland-College Park,38.9904124,-76.9438586,Faraz Burni; Eric D. Wachsman; Funke Okunrinboye; Sara Molinari; Haochen Yang
brigham young university,30,Brigham Young University,40.2554083,-111.6496832,Douglas Tree; Cassandra Guffey; Brayton Young; Jennifer Nielson; Tyler Green
mcmaster university,28,McMaster University,43.2639397,-79.9178252,Amir Hossein Hamedi; Hesam Hassanpour; Vladimir Mahalec; Enrique Luna; Christopher Swartz
university of new mexico,28,University of New Mexico,35.07115085,-106.6113392,Raju Vadthya; John Fawcett; Eva Chi; Donna Riley; Jianda Wang
penn state college of medicine,28,Penn State College of Medicine,40.2639023,-76.67560449999999,Arian Jaberi; Zaman Ataie; Angie Castro; Sina Kheirabadi; Majd Matalkeh
école polytechnique fédérale de lausanne,28,École Polytechnique Fédérale de Lausanne,46.5186594,6.5665615,Francesca Lorenzutti; Kumar Varoon Agrawal; Daniel Florez Orrego; Meire Ellen Gorete Ribeiro Domingos; Ardemis Boghossian
canakkale onsekiz mart univ,28,Canakkale Onsekiz Mart Univ,40.1120066,26.4214648,Nurettin Sahiner; Mehtap Sahiner; Selin S. Sagbas; Sahin Demirci; Selin Sagbas
kent state university,28,Kent State University,41.1442325,-81.3398321,Masoud Ghasemi; Song Wang; Artem Rumyantsev; Darrell Velegol; Moritz Woelk
the city college of new york,26,the city college of new york,,,Elizabeth Biddinger; Janhvi Trivedi; Surabh KT; Nicole Donovan; Brian Chen
ghent university,26,Ghent University,51.0078484,3.7108831,Kensaku Matsunami; Mike Bonheure; Kevin De Ras; Jeroen Aerssens; Simon De Langhe
koc university,26,Koc University,41.203159,29.0728654,Shuhei Takamura; Masanori Oshima; Ece Serenat Köksal; Shota Kato; Sakuya Kobayashi
national institute of standards and technology,26,National Institute of Standards and Technology,39.13327588333333,-77.2234751,Jacob Majikes; Julie Rieland; Daniel Siderius; Evan Jahrman; Harold Hatch
harvard medical school,26,harvard medical school,,,Sun Jin Moon; Jonathan Soucy; Anush Chiappino-Pepe; Neil Dalvie
korea institute of energy research,26,korea institute of energy research,,,Gwon Woo Park; Jihong Moon; Sang Jun Yoon; Gwanhong Min; Dongho Lee
slac national accelerator laboratory,26,slac national accelerator laboratory,,,Ara Cho; Shyama Charan Mandal; Hyeonjung Jung; Adam Hoffman; Adam Nielander
saudi aramco,24,Saudi Aramco,23.9494015,38.2920459,Alaa Albasry; Zainab Alaithan; Ragad Aldilaijan; Vishvedeep Bhat; Rasha Daadoush
ewha womans university,24,ewha womans university,,,Yubin Ryu; Pouya Ifaei; Chaeeun Lee; Youlim Chung; Soyoung Kang
university of arizona,24,University of Arizona,32.23664585,-110.95234075,David Mier Salazar; Jeffrey Pyun; Angel Martin; Ethan Howley; Suchol Savagatrup
missouri university of science and technology,24,Missouri University of Science and Technology,37.9532435,-91.7742667,Kasim Adewuyi; Al-Dahhan Muthanna; Godwin Ogbuehi; Christi Luks; Ugochukwu Ewuzie
kwangwoon university,24,kwangwoon university,,,Hiesang Song; Hyungjun KIM; Gyeonggwan Jeon
university of georgia,24,University of Georgia,33.9404278,-83.373049,Varunkumar Thippanna; Kenan Song; Xinyu Gong; Qi Gan; Yajun Yan
abbvie,24,AbbVie,42.33708,-87.8344244,Pelin Su Bulutoglu; Eric Sacia; William Ketterhagen; Catherine Barton; Jeffery Larson
new york university,24,new york university,,,Jonathan Salmeron-Hernandez; Kelechi Ndukwe-Ajala; Ella King; Ryan Hartman; Erica Burnham
university of rhode island,24,University of Rhode Island,41.4875094,-71.5343138,Michael Fedorenko; Animesh Pan; Ashutosh Giri; Geoffrey Bothun; Devleena Chowdhury
"amgen, inc.",24,"Amgen, Inc.",34.1905959,-118.91985619999998,Taehun Kim; Xuan Han; Hamza Youssef Ismail; Michaela Murr; Nandini Sarkar
sungkyunkwan university,24,Sungkyunkwan University,37.29748823333333,126.9434087,Janggeun Lee; Jonghwan Oh; Yong Sang Lee; Woochang Jeong; Hyeonseo IM
sandia national laboratories,24,Sandia National Laboratories,37.688589533333335,-121.7401623,Matthew S. Johnson; Rekha Rao; Scott Bobbitt; Carl Laird; Tuan Ho
